time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.119200,-0.449890,1.732910,139.267430,-327.460880,75928.015630,1.000000,3.035160,-496.755460
0.002000,0.119200,-0.449890,1.886720,139.267440,-327.461090,76012.390630,,3.035160,-496.755460
0.004000,0.117920,-0.451170,2.102050,139.267440,-327.461210,75528.289060,,3.028750,-496.755490
0.006000,0.120480,-0.449890,1.968750,139.267460,-327.461330,76021.875000,,3.022340,-496.755490
0.008000,0.120480,-0.449890,1.968750,139.267460,-327.461360,75702.304690,1.000000,3.010800,-496.755490
0.010000,0.123050,-0.449890,1.589360,139.267460,-327.461460,75776.132810,,3.005680,-496.755490
0.012000,0.123050,-0.451170,1.466310,139.267460,-327.461490,75770.859380,,3.000550,-496.755490
0.014000,0.125610,-0.451170,1.527830,139.267460,-327.461580,75973.359380,,2.995420,-496.755460
0.016000,0.126890,-0.451170,1.712400,139.267470,-327.461640,76112.578130,1.000000,2.995420,-496.755460
0.018000,0.129460,-0.422970,2.061040,139.267470,-327.461760,75839.421880,,2.997990,-496.755460
0.020000,0.132020,-0.064090,2.091800,139.268040,-327.461880,76007.109380,,3.005680,-496.755460
0.022000,0.133300,-0.023070,2.112300,139.269320,-327.462010,75780.351560,,3.015930,-496.755460
0.024000,0.135860,0.010250,2.102050,139.270450,-327.462100,76003.945310,1.000000,3.024900,-496.755460
0.026000,0.137150,0.156370,1.702150,139.271320,-327.462190,75772.976560,,3.032590,-496.755460
0.028000,0.138430,0.316590,1.712400,139.272370,-327.462310,75958.601560,,3.041560,-496.755460
0.030000,0.140990,0.434510,1.866210,139.274000,-327.462370,76129.460940,,3.051820,-496.755460
0.032000,0.142270,0.547300,2.337890,139.276310,-327.462460,75915.351560,1.000000,3.063350,-496.755460
0.034000,0.140990,0.697270,1.845700,139.279340,-327.462460,76089.382810,,3.058230,-496.755400
0.036000,0.142270,0.862610,1.927730,139.283330,-327.462430,75853.132810,,3.054380,-496.755400
0.038000,0.143550,1.033080,1.732910,139.288510,-327.462400,75923.796880,,3.051820,-496.755400
0.040000,0.146120,1.185610,1.476560,139.295200,-327.462400,75909.031250,1.000000,3.049260,-496.755400
0.042000,0.144840,1.300960,1.784180,139.303570,-327.462430,75885.828130,,3.047970,-496.755460
0.044000,0.144840,1.388120,1.579100,139.313830,-327.462460,76209.617190,,3.045410,-496.755400
0.046000,0.144840,1.439390,1.917480,139.325970,-327.462460,75887.929690,,3.044130,-496.755400
0.048000,0.143550,1.438110,1.661130,139.339970,-327.462520,75856.289060,1.000000,3.047970,-496.755400
0.050000,0.142270,1.404790,2.122560,139.355610,-327.462590,75737.117190,,3.058230,-496.755400
0.052000,0.142270,1.345830,1.917480,139.372730,-327.462620,75898.484380,,3.068480,-496.755460
0.054000,0.139710,1.268920,1.784180,139.391080,-327.462650,75739.226560,,3.078740,-496.755460
0.056000,0.137150,1.181760,1.896970,139.410460,-327.462710,75924.851560,1.000000,3.090270,-496.755460
0.058000,0.134580,1.090760,1.814940,139.430590,-327.462710,75854.187500,,3.100520,-496.755460
0.060000,0.133300,0.998470,2.112300,139.451280,-327.462710,75891.093750,,3.104370,-496.755460
0.062000,0.132020,0.898500,1.661130,139.472370,-327.462680,75939.617190,,3.108220,-496.755460
0.064000,0.128170,0.797240,1.753420,139.493670,-327.462650,75589.460940,1.000000,3.114620,-496.755460
0.066000,0.125610,0.699830,1.896970,139.515050,-327.462620,75915.351560,,3.115910,-496.755460
0.068000,0.125610,0.616520,1.712400,139.536330,-327.462590,75838.359380,,3.117190,-496.755490
0.070000,0.124330,0.554990,1.958500,139.557390,-327.462590,75923.796880,,3.119750,-496.755490
0.072000,0.123050,0.517820,1.661130,139.578250,-327.462590,75836.257810,1.000000,3.121030,-496.755490
0.074000,0.121770,0.494750,1.855960,139.598920,-327.462590,75951.210940,,3.122310,-496.755490
0.076000,0.119200,0.485780,1.671390,139.619430,-327.462590,75982.859380,,3.123600,-496.755490
0.078000,0.119200,0.487060,2.040530,139.639800,-327.462590,75854.187500,,3.126160,-496.755490
0.080000,0.117920,0.499880,2.163570,139.660080,-327.462590,76028.210940,1.000000,3.130000,-496.755490
0.082000,0.116640,0.507570,2.214840,139.680370,-327.462590,75836.257810,,3.133850,-496.755490
0.084000,0.114070,0.507570,2.153320,139.700730,-327.462590,75997.625000,,3.137700,-496.755490
0.086000,0.111510,0.498600,1.763670,139.721160,-327.462590,75812.000000,,3.141540,-496.755490
0.088000,0.111510,0.475520,1.927730,139.741710,-327.462590,75995.507810,1.000000,3.146670,-496.755490
0.090000,0.110230,0.446040,1.661130,139.762370,-327.462550,76000.789060,,3.147950,-496.755490
0.092000,0.110230,0.414000,1.773930,139.783110,-327.462550,75922.734380,,3.151790,-496.755490
0.094000,0.108950,0.388370,2.020020,139.803890,-327.462520,75995.507810,,3.150510,-496.755490
0.096000,0.107670,0.375550,1.948240,139.824630,-327.462490,75856.289060,1.000000,3.150510,-496.755490
0.098000,0.107670,0.367860,1.886720,139.845340,-327.462490,76053.515630,,3.153080,-496.755550
0.100000,0.108950,0.358890,1.507320,139.866040,-327.462490,75809.890630,,3.154360,-496.755550
0.102000,0.108950,0.352480,1.722660,139.886730,-327.462520,75928.015630,,3.154360,-496.755550
0.104000,0.107670,0.358890,1.661130,139.907390,-327.462520,76201.171880,1.000000,3.156920,-496.755550
0.106000,0.108950,0.381960,2.071290,139.927960,-327.462520,75776.132810,,3.158200,-496.755550
0.108000,0.108950,0.420410,2.204590,139.948500,-327.462520,75943.835940,,3.162050,-496.755550
0.110000,0.108950,0.471680,2.081540,139.968990,-327.462520,75679.109380,,3.163330,-496.755550
0.112000,0.110230,0.525510,1.835450,139.989500,-327.462520,76016.609380,1.000000,3.169740,-496.755550
0.114000,0.110230,0.576780,1.681640,140.010060,-327.462490,75953.328130,,3.172300,-496.755550
0.116000,0.107670,0.622920,1.979000,140.030670,-327.462490,75789.843750,,3.176150,-496.755550
0.118000,0.108950,0.663940,1.835450,140.051390,-327.462490,75786.679690,,3.182560,-496.755550
0.120000,0.108950,0.701110,1.937990,140.072220,-327.462460,75753.992190,1.000000,3.185120,-496.755550
0.122000,0.108950,0.726750,2.030270,140.093150,-327.462460,75990.234380,,3.190250,-496.755550
0.124000,0.106380,0.738280,1.661130,140.114230,-327.462460,75592.625000,,3.191530,-496.755550
0.126000,0.105100,0.737000,1.517580,140.135410,-327.462460,75972.312500,,3.194090,-496.755550
0.128000,0.106380,0.730590,1.589360,140.156690,-327.462460,76002.890630,1.000000,3.197940,-496.755550
0.130000,0.105100,0.716490,1.712400,140.178010,-327.462430,75912.195310,,3.201780,-496.755550
0.132000,0.107670,0.703670,1.968750,140.199370,-327.462430,75736.062500,,3.204350,-496.755550
0.134000,0.105100,0.687010,2.235350,140.220750,-327.462430,75641.132810,,3.206910,-496.755550
0.136000,0.105100,0.661380,2.081540,140.242160,-327.462430,75986.023440,1.000000,3.210750,-496.755550
0.138000,0.105100,0.635740,2.040530,140.263530,-327.462400,75819.375000,,3.214600,-496.755550
0.140000,0.103820,0.622920,1.784180,140.284850,-327.462400,75801.445310,,3.218440,-496.755620
0.142000,0.105100,0.619080,1.568850,140.306140,-327.462400,75917.460940,,3.222290,-496.755620
0.144000,0.103820,0.617800,2.102050,140.327390,-327.462400,75904.804690,1.000000,3.224850,-496.755620
0.146000,0.103820,0.608830,2.225100,140.348620,-327.462370,75859.453130,,3.229980,-496.755620
0.148000,0.105100,0.596010,2.009770,140.369890,-327.462370,75761.367190,,3.233830,-496.755620
0.150000,0.105100,0.580630,1.835450,140.391140,-327.462340,76076.718750,,3.236390,-496.755620
0.152000,0.105100,0.557560,1.568850,140.412370,-327.462340,75926.953130,1.000000,3.238950,-496.755620
0.154000,0.106380,0.529360,1.558590,140.433620,-327.462310,75902.695310,,3.240230,-496.755620
0.156000,0.106380,0.502440,1.671390,140.454850,-327.462310,75952.265630,,3.242800,-496.755620
0.158000,0.107670,0.481930,1.845700,140.476010,-327.462310,75987.078130,,3.242800,-496.755620
0.160000,0.110230,0.469120,1.886720,140.497120,-327.462280,75710.742190,1.000000,3.242800,-496.755620
0.162000,0.111510,0.461430,1.876460,140.518140,-327.462280,75789.843750,,3.245360,-496.755620
0.164000,0.111510,0.453740,1.968750,140.539120,-327.462280,76145.281250,,3.246640,-496.755550
0.166000,0.112790,0.456300,1.845700,140.560040,-327.462280,75815.156250,,3.247920,-496.755550
0.168000,0.115360,0.469120,1.825200,140.580860,-327.462280,76032.429690,1.000000,3.249210,-496.755550
0.170000,0.116640,0.494750,1.835450,140.601590,-327.462280,75748.718750,,3.251770,-496.755550
0.172000,0.116640,0.522950,1.907230,140.622250,-327.462250,75903.750000,,3.253050,-496.755550
0.174000,0.117920,0.548580,2.091800,140.642930,-327.462250,75648.523440,,3.253050,-496.755550
0.176000,0.119200,0.567810,1.835450,140.663620,-327.462250,75938.562500,1.000000,3.256900,-496.755550
0.178000,0.121770,0.576780,1.599610,140.684390,-327.462250,75820.429690,,3.259460,-496.755550
0.180000,0.123050,0.581910,1.876460,140.705220,-327.462250,75819.375000,,3.260740,-496.755550
0.182000,0.125610,0.580630,1.763670,140.726140,-327.462250,75977.585940,,3.262020,-496.755550
0.184000,0.124330,0.578060,1.845700,140.747130,-327.462250,75668.554690,1.000000,3.264590,-496.755550
0.186000,0.125610,0.567810,1.773930,140.768190,-327.462220,75930.117190,,3.267150,-496.755550
0.188000,0.126890,0.556270,1.671390,140.789340,-327.462220,75821.492190,,3.268430,-496.755550
0.190000,0.126890,0.554990,1.804690,140.810470,-327.462220,75842.585940,,3.272280,-496.755550
0.192000,0.128170,0.558840,1.907230,140.831600,-327.462220,75784.578130,1.000000,3.273560,-496.755550
0.194000,0.128170,0.571660,2.122560,140.852710,-327.462190,75759.257810,,3.276120,-496.755550
0.196000,0.126890,0.584470,2.112300,140.873810,-327.462190,75938.562500,,3.278690,-496.755490
0.198000,0.125610,0.597290,2.163570,140.894910,-327.462190,75849.960940,,3.281250,-496.755490
0.200000,0.125610,0.613950,1.753420,140.915970,-327.462190,75945.937500,1.000000,3.283810,-496.755550
0.202000,0.125610,0.631900,1.989260,140.937060,-327.462190,75867.898440,,3.285100,-496.755550
0.204000,0.124330,0.642150,1.917480,140.958150,-327.462190,75920.625000,,3.287660,-496.755550
0.206000,0.123050,0.651120,1.630370,140.979260,-327.462190,75872.109380,,3.288940,-496.755550
0.208000,0.121770,0.669070,1.876460,141.000370,-327.462190,75972.312500,1.000000,3.291500,-496.755550
0.210000,0.120480,0.699830,1.917480,141.021390,-327.462190,76161.101560,,3.294070,-496.755550
0.212000,0.119200,0.730590,1.968750,141.042420,-327.462160,75814.101560,,3.296630,-496.755550
0.214000,0.119200,0.737000,1.609860,141.063510,-327.462160,75800.398440,,3.297910,-496.755550
0.216000,0.117920,0.724180,1.630370,141.084670,-327.462160,75882.664060,1.000000,3.301760,-496.755550
0.218000,0.117920,0.702390,1.866210,141.105910,-327.462130,75998.679690,,3.303040,-496.755550
0.220000,0.117920,0.685730,1.794430,141.127150,-327.462130,75834.140630,,3.305600,-496.755550
0.222000,0.116640,0.671630,2.143070,141.148410,-327.462100,75910.085940,,3.306880,-496.755550
0.224000,0.114070,0.651120,2.061040,141.169680,-327.462100,76087.273440,1.000000,3.308170,-496.755550
0.226000,0.114070,0.625490,1.968750,141.190960,-327.462100,75840.476560,,3.312010,-496.755550
0.228000,0.112790,0.598570,1.794430,141.212230,-327.462100,75878.437500,,3.313290,-496.755550
0.230000,0.111510,0.570370,1.794430,141.233510,-327.462100,75564.140630,,3.314580,-496.755550
0.232000,0.111510,0.542180,1.917480,141.254760,-327.462070,76068.281250,1.000000,3.315860,-496.755550
0.234000,0.110230,0.513980,1.589360,141.275970,-327.462070,75911.140630,,3.315860,-496.755550
0.236000,0.110230,0.485780,2.040530,141.297200,-327.462040,75918.515630,,3.317140,-496.755550
0.238000,0.110230,0.458860,1.538090,141.318370,-327.462040,75897.429690,,3.318420,-496.755550
0.240000,0.108950,0.447330,1.589360,141.339460,-327.462040,75750.828130,1.000000,3.318420,-496.755550
0.242000,0.110230,0.442200,1.753420,141.360530,-327.462040,75980.742190,,3.319700,-496.755550
0.244000,0.108950,0.448610,1.548340,141.381520,-327.462040,75581.015630,,3.319700,-496.755550
0.246000,0.108950,0.466550,1.999510,141.402420,-327.462040,75977.585940,,3.319700,-496.755550
0.248000,0.110230,0.496030,2.020020,141.423200,-327.462040,76012.390630,1.000000,3.322270,-496.755550
0.250000,0.108950,0.530640,2.143070,141.443950,-327.462040,75837.312500,,3.323550,-496.755550
0.252000,0.108950,0.560120,2.040530,141.464690,-327.462040,75744.492190,,3.323550,-496.755550
0.254000,0.108950,0.583190,1.886720,141.485460,-327.462040,75890.039060,,3.324830,-496.755620
0.256000,0.108950,0.596010,1.753420,141.506270,-327.462040,75957.539060,1.000000,3.327390,-496.755550
0.258000,0.110230,0.608830,1.896970,141.527150,-327.462040,75775.078130,,3.329960,-496.755620
0.260000,0.108950,0.616520,2.266110,141.548080,-327.462040,76278.171880,,3.331240,-496.755620
0.262000,0.108950,0.626770,1.958500,141.569060,-327.462040,75951.210940,,3.332520,-496.755620
0.264000,0.107670,0.628050,2.050780,141.590120,-327.462040,75924.851560,1.000000,3.333800,-496.755620
0.266000,0.108950,0.628050,1.548340,141.611210,-327.462010,75877.382810,,3.333800,-496.755620
0.268000,0.107670,0.629330,1.568850,141.632310,-327.462010,75818.320310,,3.336360,-496.755620
0.270000,0.107670,0.639590,1.681640,141.653380,-327.462010,76122.070310,,3.337650,-496.755620
0.272000,0.107670,0.649840,1.712400,141.674470,-327.462010,75765.593750,1.000000,3.338930,-496.755620
0.274000,0.107670,0.656250,2.030270,141.695530,-327.461980,76095.703130,,3.337650,-496.755620
0.276000,0.106380,0.656250,1.907230,141.716640,-327.461980,75854.187500,,3.341490,-496.755620
0.278000,0.106380,0.651120,2.132810,141.737790,-327.461980,75969.148440,,3.342770,-496.755620
0.280000,0.107670,0.644710,1.712400,141.758930,-327.461980,75878.437500,1.000000,3.342770,-496.755620
0.282000,0.107670,0.643430,1.907230,141.780060,-327.461980,75877.382810,,3.342770,-496.755620
0.284000,0.106380,0.640870,1.671390,141.801220,-327.461980,76114.695310,,3.345340,-496.755620
0.286000,0.108950,0.642150,2.009770,141.822360,-327.461940,75808.835940,,3.345340,-496.755620
0.288000,0.107670,0.653690,2.163570,141.843440,-327.461980,75980.742190,1.000000,3.346620,-496.755620
0.290000,0.108950,0.675480,1.917480,141.864470,-327.461980,75712.851560,,3.349180,-496.755620
0.292000,0.110230,0.690860,1.702150,141.885530,-327.461940,75855.242190,,3.351750,-496.755620
0.294000,0.111510,0.693420,1.599610,141.906620,-327.461940,75912.195310,,3.353030,-496.755620
0.296000,0.112790,0.692140,1.640630,141.927760,-327.461940,75790.898440,1.000000,3.354310,-496.755620
0.298000,0.114070,0.683170,1.845700,141.948940,-327.461910,75929.070310,,3.355590,-496.755620
0.300000,0.115360,0.670350,1.763670,141.970180,-327.461910,75719.187500,,3.355590,-496.755620
0.302000,0.116640,0.646000,1.732910,141.991490,-327.461910,75890.039060,,3.358150,-496.755620
0.304000,0.117920,0.615230,1.743160,142.012820,-327.461910,75554.648440,1.000000,3.358150,-496.755550
0.306000,0.117920,0.583190,2.040530,142.034160,-327.461910,75994.453130,,3.359440,-496.755550
0.308000,0.120480,0.552430,1.999510,142.055480,-327.461910,75816.210940,,3.360720,-496.755550
0.310000,0.121770,0.526790,2.102050,142.076770,-327.461910,75852.078130,,3.362000,-496.755550
0.312000,0.123050,0.503720,1.927730,142.097980,-327.461910,75824.656250,1.000000,3.363280,-496.755550
0.314000,0.123050,0.492190,2.040530,142.119130,-327.461910,75724.460940,,3.364560,-496.755550
0.316000,0.123050,0.488340,1.814940,142.140170,-327.461910,75785.625000,,3.363280,-496.755550
0.318000,0.124330,0.493470,1.958500,142.161130,-327.461910,75864.726560,,3.364560,-496.755550
0.320000,0.125610,0.505000,1.620120,142.182040,-327.461910,76103.093750,1.000000,3.364560,-496.755550
0.322000,0.126890,0.531920,1.722660,142.202870,-327.461910,75829.921880,,3.364560,-496.755550
0.324000,0.125610,0.563960,2.194340,142.223590,-327.461880,76078.828130,,3.364560,-496.755550
0.326000,0.126890,0.608830,1.814940,142.244260,-327.461880,75777.195310,,3.364560,-496.755550
0.328000,0.126890,0.644710,1.712400,142.264920,-327.461880,75971.257810,1.000000,3.367130,-496.755550
0.330000,0.128170,0.671630,1.548340,142.285640,-327.461880,75986.023440,,3.365840,-496.755550
0.332000,0.129460,0.681880,1.814940,142.306460,-327.461880,75855.242190,,3.367130,-496.755550
0.334000,0.128170,0.678040,1.907230,142.327390,-327.461880,76089.382810,,3.368410,-496.755550
0.336000,0.128170,0.661380,2.102050,142.348480,-327.461880,75790.898440,1.000000,3.368410,-496.755550
0.338000,0.128170,0.637020,2.214840,142.369640,-327.461880,75991.289060,,3.369690,-496.755550
0.340000,0.128170,0.619080,1.968750,142.390900,-327.461880,75882.664060,,3.370970,-496.755550
0.342000,0.128170,0.603700,1.835450,142.412160,-327.461880,75845.742190,,3.372250,-496.755550
0.344000,0.125610,0.587040,1.702150,142.433440,-327.461880,76095.703130,1.000000,3.373540,-496.755550
0.346000,0.125610,0.567810,1.825200,142.454730,-327.461880,75820.429690,,3.373540,-496.755550
0.348000,0.125610,0.558840,1.814940,142.475970,-327.461850,75904.804690,,3.376100,-496.755550
0.350000,0.124330,0.562680,1.937990,142.497100,-327.461850,75679.109380,,3.376100,-496.755550
0.352000,0.123050,0.575500,1.794430,142.518170,-327.461850,75931.179690,1.000000,3.377380,-496.755550
0.354000,0.121770,0.587040,1.712400,142.539230,-327.461850,75701.250000,,3.377380,-496.755550
0.356000,0.121770,0.588320,1.640630,142.560290,-327.461820,75894.257810,,3.376100,-496.755550
0.358000,0.121770,0.587040,1.497070,142.581360,-327.461820,75845.742190,,3.377380,-496.755550
0.360000,0.120480,0.597290,1.937990,142.602420,-327.461820,75728.671880,1.000000,3.376100,-496.755550
0.362000,0.120480,0.617800,2.081540,142.623400,-327.461850,76007.109380,,3.377380,-496.755550
0.364000,0.119200,0.642150,2.122560,142.644360,-327.461850,75347.929690,,3.378660,-496.755550
0.366000,0.116640,0.662660,2.102050,142.665310,-327.461820,75941.726560,,3.378660,-496.755550
0.368000,0.116640,0.678040,1.763670,142.686260,-327.461850,76022.929690,1.000000,3.381230,-496.755550
0.370000,0.115360,0.697270,1.773930,142.707200,-327.461820,75896.375000,,3.385070,-496.755550
0.372000,0.116640,0.712650,1.989260,142.728150,-327.461820,75820.429690,,3.385070,-496.755550
0.374000,0.115360,0.720340,2.071290,142.749130,-327.461820,75888.992190,,3.386350,-496.755550
0.376000,0.112790,0.719060,1.907230,142.770170,-327.461790,76126.289060,1.000000,3.387630,-496.755550
0.378000,0.112790,0.706240,2.040530,142.791310,-327.461790,75801.445310,,3.387630,-496.755550
0.380000,0.112790,0.683170,1.568850,142.812530,-327.461790,75866.843750,,3.387630,-496.755550
0.382000,0.112790,0.652400,1.486820,142.833800,-327.461790,75943.835940,,3.387630,-496.755550
0.384000,0.111510,0.606260,1.702150,142.855160,-327.461790,75828.867190,1.000000,3.388920,-496.755620
0.386000,0.111510,0.565250,1.753420,142.876530,-327.461790,75898.484380,,3.387630,-496.755550
0.388000,0.112790,0.534480,1.917480,142.897840,-327.461790,75865.789060,,3.387630,-496.755550
0.390000,0.110230,0.511410,2.009770,142.919110,-327.461790,76289.765630,,3.388920,-496.755620
0.392000,0.111510,0.487060,1.999510,142.940340,-327.461790,75883.718750,1.000000,3.390200,-496.755620
0.394000,0.108950,0.467830,1.917480,142.961520,-327.461790,75870.007810,,3.390200,-496.755620
0.396000,0.108950,0.460140,1.671390,142.982640,-327.461760,75891.093750,,3.390200,-496.755620
0.398000,0.110230,0.471680,1.845700,143.003630,-327.461760,75915.351560,,3.391480,-496.755620
0.400000,0.110230,0.502440,1.825200,143.024480,-327.461760,75822.546880,1.000000,3.391480,-496.755620
0.402000,0.110230,0.542180,2.214840,143.045260,-327.461760,75945.937500,,3.392760,-496.755620
0.404000,0.110230,0.572940,1.784180,143.065990,-327.461760,76121.023440,,3.392760,-496.755620
0.406000,0.110230,0.594730,1.825200,143.086760,-327.461760,75801.445310,,3.392760,-496.755620
0.408000,0.110230,0.619080,1.712400,143.107540,-327.461760,75859.453130,1.000000,3.392760,-496.755620
0.410000,0.111510,0.643430,1.548340,143.128360,-327.461760,75695.984380,,3.394040,-496.755620
0.412000,0.112790,0.670350,1.743160,143.149170,-327.461760,75915.351560,,3.394040,-496.755620
0.414000,0.114070,0.688290,1.620120,143.170040,-327.461760,75788.789060,,3.392760,-496.755620
0.416000,0.114070,0.685730,1.835450,143.191060,-327.461760,75761.367190,1.000000,3.394040,-496.755550
