time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.129460,-0.469120,1.702150,139.267810,-327.261140,75691.765630,1.000000,3.172300,-340.751400
0.002000,0.130740,-0.469120,1.599610,139.267810,-327.261320,75974.421880,,3.168460,-340.751400
0.004000,0.132020,-0.469120,1.568850,139.267810,-327.261440,75890.039060,,3.165890,-340.751430
0.006000,0.132020,-0.469120,1.907230,139.267820,-327.261540,76261.296880,,3.159480,-340.751430
0.008000,0.134580,-0.469120,1.999510,139.267840,-327.261630,75745.546880,1.000000,3.155640,-340.751430
0.010000,0.135860,-0.467830,1.753420,139.267850,-327.261690,75857.343750,,3.145390,-340.751400
0.012000,0.137150,-0.470400,1.927730,139.267850,-327.261720,75994.453130,,3.142820,-340.751400
0.014000,0.138430,-0.470400,2.009770,139.267850,-327.261810,75836.257810,,3.140260,-340.751400
0.016000,0.139710,-0.472960,1.753420,139.267850,-327.261870,75914.296880,1.000000,3.140260,-340.751400
0.018000,0.142270,-0.474240,1.896970,139.267840,-327.261960,75962.812500,,3.142820,-340.751400
0.020000,0.143550,-0.442200,1.917480,139.267840,-327.262080,76040.867190,,3.150510,-340.751400
0.022000,0.146120,-0.070500,2.102050,139.268420,-327.262210,75726.562500,,3.160770,-340.751400
0.024000,0.147400,-0.003850,1.835450,139.269760,-327.262330,75863.671880,1.000000,3.171020,-340.751400
0.026000,0.149960,0.076900,1.630370,139.271030,-327.262420,75840.476560,,3.179990,-340.751370
0.028000,0.152530,0.261470,1.671390,139.272220,-327.262480,76014.500000,,3.183840,-340.751370
0.030000,0.153810,0.438350,1.661130,139.273790,-327.262510,75837.312500,,3.187680,-340.751340
0.030000,0.153810,0.438350,1.661130,139.273790,-327.262510,75837.312500,,3.187680,-340.751340
0.032000,0.156370,0.572940,1.876460,139.276110,-327.262540,75866.843750,1.000000,3.190250,-340.751340
0.034000,0.158940,0.707520,1.445800,139.279310,-327.262600,75938.562500,,3.195370,-340.751340
0.036000,0.157650,0.845950,1.866210,139.283520,-327.262570,75873.171880,,3.191530,-340.751310
0.038000,0.158940,1.004880,1.732910,139.288910,-327.262570,75794.070310,,3.190250,-340.751310
0.040000,0.161500,1.167660,1.989260,139.295730,-327.262570,75871.062500,1.000000,3.188960,-340.751340
0.042000,0.160220,1.303530,2.143070,139.304240,-327.262570,75912.195310,,3.186400,-340.751340
0.044000,0.158940,1.420170,2.081540,139.314650,-327.262600,75898.484380,,3.182560,-340.751340
0.046000,0.160220,1.495790,1.866210,139.327090,-327.262630,75596.835940,,3.183840,-340.751340
0.048000,0.158940,1.526550,1.855960,139.341570,-327.262660,75914.296880,1.000000,3.190250,-340.751310
0.050000,0.158940,1.523990,1.896970,139.357930,-327.262730,75925.906250,,3.197940,-340.751310
0.052000,0.157650,1.502200,1.784180,139.376050,-327.262760,75949.101560,,3.204350,-340.751340
0.054000,0.157650,1.457340,1.886720,139.395780,-327.262790,75867.898440,,3.215880,-340.751340
0.056000,0.153810,1.394530,2.020020,139.416890,-327.262820,76226.484380,1.000000,3.224850,-340.751340
0.058000,0.152530,1.313780,1.948240,139.439220,-327.262850,75947.000000,,3.233830,-340.751340
0.060000,0.151250,1.216370,1.845700,139.462540,-327.262850,75909.031250,,3.241520,-340.751340
0.062000,0.148680,1.113830,1.456050,139.486660,-327.262820,76001.843750,,3.244080,-340.751370
0.064000,0.147400,1.011290,1.650880,139.511380,-327.262820,75860.507810,1.000000,3.251770,-340.751370
0.066000,0.146120,0.906190,1.866210,139.536510,-327.262790,76165.312500,,3.254330,-340.751370
0.068000,0.143550,0.808780,2.030270,139.561830,-327.262790,75662.234380,,3.258180,-340.751370
0.070000,0.142270,0.715210,2.430180,139.587190,-327.262790,76158.992190,,3.259460,-340.751400
0.072000,0.140990,0.629330,2.132810,139.612520,-327.262790,75954.382810,1.000000,3.262020,-340.751400
0.074000,0.139710,0.563960,1.732910,139.637680,-327.262790,75863.671880,,3.265870,-340.751400
0.076000,0.137150,0.515260,1.589360,139.662660,-327.262790,75892.148440,,3.265870,-340.751400
0.078000,0.135860,0.483220,1.937990,139.687470,-327.262790,75886.875000,,3.269710,-340.751400
0.080000,0.134580,0.469120,1.876460,139.712080,-327.262790,75993.398440,1.000000,3.272280,-340.751400
0.082000,0.132020,0.463990,1.794430,139.736600,-327.262790,75568.359380,,3.276120,-340.751400
0.084000,0.130740,0.474240,1.958500,139.761030,-327.262760,76023.984380,,3.281250,-340.751430
0.086000,0.129460,0.484500,1.671390,139.785460,-327.262760,75918.515630,,3.283810,-340.751430
0.088000,0.128170,0.496030,1.671390,139.809920,-327.262730,75943.835940,1.000000,3.287660,-340.751430
0.090000,0.126890,0.496030,1.517580,139.834460,-327.262730,75796.179690,,3.290220,-340.751430
0.092000,0.125610,0.475520,1.794430,139.859120,-327.262700,75725.507810,,3.291500,-340.751430
0.094000,0.124330,0.430660,1.907230,139.883960,-327.262700,75981.796880,,3.294070,-340.751430
0.096000,0.123050,0.379390,2.225100,139.908890,-327.262700,75528.289060,1.000000,3.294070,-340.751430
0.098000,0.123050,0.337100,1.907230,139.933870,-327.262700,75939.617190,,3.295350,-340.751430
0.100000,0.121770,0.306340,1.927730,139.958820,-327.262700,75871.062500,,3.296630,-340.751460
0.102000,0.121770,0.290950,1.927730,139.983700,-327.262700,76013.445310,,3.297910,-340.751460
0.104000,0.123050,0.293520,1.743160,140.008480,-327.262700,75763.484380,1.000000,3.300480,-340.751460
0.106000,0.123050,0.312740,2.296880,140.033190,-327.262700,75662.234380,,3.301760,-340.751460
0.108000,0.123050,0.355040,2.102050,140.057770,-327.262700,76011.328130,,3.306880,-340.751460
0.110000,0.121770,0.415280,1.825200,140.082260,-327.262660,75767.703130,,3.309450,-340.751460
0.112000,0.123050,0.488340,1.804690,140.106700,-327.262660,75837.312500,1.000000,3.312010,-340.751460
0.114000,0.124330,0.560120,1.620120,140.131180,-327.262660,75904.804690,,3.315860,-340.751460
0.116000,0.124330,0.620360,1.712400,140.155750,-327.262660,76037.695310,,3.318420,-340.751460
0.118000,0.124330,0.665220,1.722660,140.180480,-327.262660,75871.062500,,3.320980,-340.751460
0.120000,0.123050,0.698550,2.009770,140.205400,-327.262660,75713.906250,1.000000,3.324830,-340.751460
0.122000,0.121770,0.716490,2.009770,140.230470,-327.262660,75926.953130,,3.326110,-340.751460
0.124000,0.121770,0.713930,1.917480,140.255750,-327.262660,75949.101560,,3.331240,-340.751460
0.126000,0.121770,0.697270,1.794430,140.281200,-327.262660,76188.523440,,3.333800,-340.751460
0.128000,0.120480,0.676760,2.030270,140.306750,-327.262660,75794.070310,1.000000,3.338930,-340.751460
0.130000,0.119200,0.665220,1.886720,140.332350,-327.262630,76069.335940,,3.344060,-340.751460
0.132000,0.119200,0.665220,1.866210,140.357910,-327.262630,75938.562500,,3.347900,-340.751460
0.134000,0.119200,0.669070,2.081540,140.383470,-327.262630,75876.328130,,3.353030,-340.751460
0.136000,0.116640,0.663940,2.132810,140.409060,-327.262600,75668.554690,1.000000,3.354310,-340.751500
0.138000,0.117920,0.654970,1.825200,140.434620,-327.262600,75976.523440,,3.359440,-340.751500
0.140000,0.117920,0.648560,1.527830,140.460110,-327.262600,75915.351560,,3.362000,-340.751500
0.142000,0.117920,0.651120,1.712400,140.485570,-327.262570,75740.273440,,3.364560,-340.751500
0.144000,0.117920,0.660100,1.702150,140.510960,-327.262570,75875.273440,1.000000,3.368410,-340.751500
0.146000,0.119200,0.666500,1.804690,140.536330,-327.262570,75822.546880,,3.370970,-340.751500
0.148000,0.119200,0.670350,1.630370,140.561660,-327.262540,75980.742190,,3.374820,-340.751500
0.150000,0.119200,0.683170,1.835450,140.586930,-327.262540,75624.257810,,3.378660,-340.751500
0.152000,0.120480,0.702390,1.835450,140.612110,-327.262540,75929.070310,1.000000,3.381230,-340.751500
0.154000,0.121770,0.713930,1.917480,140.637300,-327.262510,75821.492190,,3.385070,-340.751500
0.156000,0.121770,0.704960,2.102050,140.662550,-327.262510,75708.640630,,3.386350,-340.751500
0.158000,0.123050,0.679320,1.937990,140.687870,-327.262510,75852.078130,,3.388920,-340.751500
0.160000,0.124330,0.642150,1.917480,140.713260,-327.262510,75817.265630,1.000000,3.391480,-340.751500
0.162000,0.125610,0.603700,1.804690,140.738690,-327.262480,76066.179690,,3.394040,-340.751500
0.164000,0.126890,0.561400,1.927730,140.764160,-327.262480,75765.593750,,3.395320,-340.751500
0.166000,0.128170,0.512700,1.989260,140.789690,-327.262480,75723.406250,,3.396610,-340.751500
0.168000,0.130740,0.465270,1.804690,140.815200,-327.262480,75965.976560,1.000000,3.399170,-340.751500
0.170000,0.133300,0.428100,1.866210,140.840650,-327.262480,75820.429690,,3.399170,-340.751460
0.172000,0.134580,0.414000,1.886720,140.865970,-327.262450,76026.093750,,3.401730,-340.751460
0.174000,0.137150,0.408870,1.835450,140.891200,-327.262450,75913.250000,,3.403020,-340.751460
0.176000,0.138430,0.402470,1.527830,140.916380,-327.262450,75933.281250,1.000000,3.404300,-340.751460
0.178000,0.140990,0.401180,1.568850,140.941500,-327.262450,75945.937500,,3.405580,-340.751460
0.180000,0.142270,0.412720,1.927730,140.966540,-327.262450,75784.578130,,3.408140,-340.751460
0.182000,0.143550,0.442200,2.061040,140.991460,-327.262450,76003.945310,,3.409420,-340.751460
0.184000,0.144840,0.493470,2.194340,141.016250,-327.262450,75957.539060,1.000000,3.411990,-340.751430
0.186000,0.146120,0.552430,2.081540,141.041020,-327.262420,76194.851560,,3.414550,-340.751430
0.188000,0.148680,0.598570,1.773930,141.065800,-327.262420,75732.890630,,3.417110,-340.751430
0.190000,0.148680,0.628050,1.609860,141.090670,-327.262420,75902.695310,,3.419680,-340.751430
0.190000,0.148680,0.628050,1.609860,141.090670,-327.262420,75902.695310,,3.419680,-340.751430
0.192000,0.148680,0.657530,1.876460,141.115600,-327.262420,75864.726560,1.000000,3.420960,-340.751430
0.194000,0.149960,0.687010,1.866210,141.140590,-327.262390,75910.085940,,3.424800,-340.751430
0.196000,0.148680,0.706240,1.681640,141.165710,-327.262390,75953.328130,,3.427370,-340.751430
0.198000,0.148680,0.721620,2.020020,141.190920,-327.262390,75938.562500,,3.429930,-340.751430
0.200000,0.148680,0.725460,1.722660,141.216230,-327.262390,75974.421880,1.000000,3.431210,-340.751430
0.202000,0.148680,0.715210,1.753420,141.241650,-327.262390,75702.304690,,3.433780,-340.751430
0.204000,0.146120,0.689580,1.620120,141.267200,-327.262390,75852.078130,,3.435060,-340.751430
