time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.164060,-0.424260,1.681640,139.198210,-341.582700,83589.265630,1.000000,3.042850,-497.320040
0.002000,0.164060,-0.422970,1.886720,139.198230,-341.582790,83402.585940,,3.036440,-497.320040
0.004000,0.161500,-0.421690,1.773930,139.198240,-341.582890,83527.039060,,3.028750,-497.320040
0.006000,0.160220,-0.422970,1.630370,139.198260,-341.582920,83452.148440,,3.019780,-497.320040
0.008000,0.160220,-0.422970,1.558590,139.198270,-341.582980,83412.078130,1.000000,3.012080,-497.320040
0.010000,0.158940,-0.426820,1.640630,139.198300,-341.583040,83808.632810,,3.006960,-497.320040
0.012000,0.157650,-0.429380,1.568850,139.198320,-341.583130,83485.898440,,3.005680,-497.320040
0.014000,0.157650,-0.433230,1.404790,139.198320,-341.583190,83365.671880,,3.005680,-497.320040
0.016000,0.156370,-0.434510,1.650880,139.198320,-341.583310,83549.187500,1.000000,3.010800,-497.320100
0.018000,0.157650,-0.437070,1.937990,139.198300,-341.583440,83544.968750,,3.018490,-497.320100
0.020000,0.155090,-0.410160,2.173830,139.198300,-341.583560,83309.773440,,3.024900,-497.320100
0.022000,0.155090,-0.039730,2.112300,139.198870,-341.583620,83628.289060,,3.031310,-497.320100
0.024000,0.153810,0.011540,2.009770,139.200270,-341.583740,83522.812500,1.000000,3.040280,-497.320100
0.026000,0.153810,0.075620,1.907230,139.201640,-341.583770,83282.351560,,3.041560,-497.320100
0.028000,0.152530,0.238400,1.845700,139.202910,-341.583800,83656.757810,,3.040280,-497.320100
0.028000,0.152530,0.238400,1.845700,139.202910,-341.583800,83656.757810,,3.040280,-497.320100
0.030000,0.152530,0.397340,1.784180,139.204570,-341.583830,83484.851560,,3.041560,-497.320100
