file,segment_id,mean_velocity,mean_current
Trace_1028_162435.csv,0,270030.9534105744,0.6522074412532638
Trace_1028_162435.csv,1,270114.16515207716,0.667036290801187
Trace_1028_162435.csv,2,270021.90486111114,0.6853597333333333
Trace_1030_110641.csv,0,71991.89209139424,1.8335512019230769
Trace_1030_125850.csv,0,2152.530914049844,-0.03582461059190031
Trace_1030_125850.csv,1,2153.0958986875003,-0.0356245625
Trace_1028_162435.csv,0,270030.9534105744,0.6522074412532638
Trace_1028_162435.csv,1,270114.16515207716,0.667036290801187
Trace_1028_162435.csv,2,270021.90486111114,0.6853597333333333
Trace_1030_110641.csv,0,71991.89209139424,1.8335512019230769
Trace_1030_125850.csv,0,2152.530914049844,-0.03582461059190031
Trace_1030_125850.csv,1,2153.0958986875003,-0.0356245625
Trace_1028_162435.csv,0,270030.9534105744,0.6522074412532638
Trace_1028_162435.csv,1,270114.16515207716,0.667036290801187
Trace_1028_162435.csv,2,270021.90486111114,0.6853597333333333
Trace_1030_110641.csv,0,71991.89209139424,1.8335512019230769
Trace_1030_125850.csv,0,2152.530914049844,-0.03582461059190031
Trace_1030_125850.csv,1,2153.0958986875003,-0.0356245625
Trace_1028_162435.csv,0,270030.9534105744,0.6522074412532638
Trace_1028_162435.csv,1,270114.16515207716,0.667036290801187
Trace_1028_162435.csv,2,270021.90486111114,0.6853597333333333
Trace_1030_110641.csv,0,71991.89209139424,1.8335512019230769
Trace_1030_125850.csv,0,2152.530914049844,-0.03582461059190031
Trace_1030_125850.csv,1,2153.0958986875003,-0.0356245625
Trace_1028_161651.csv,0,134967.95861582647,1.0509192561983471
Trace_1028_161651.csv,1,135012.7036260993,1.0569066312056739
Trace_1028_161651.csv,2,135006.3502511947,1.0588743805309735
Trace_1028_161651.csv,3,134995.94688988145,1.059465375494071
Trace_1028_161651.csv,4,134960.24902593752,1.0604664285714285
Trace_1028_161651.csv,5,134945.8115226403,1.0643501320132014
Trace_1028_161651.csv,6,134936.70644374102,1.0714872661870505
Trace_1028_161651.csv,7,134931.77323089287,1.0737758035714287
Trace_1028_161651.csv,8,134940.46905789062,1.07608953125
Trace_1028_161651.csv,9,134946.6465283511,1.0804233510638297
Trace_1028_161651.csv,10,134986.8977953147,1.078000811188811
Trace_1028_161651.csv,11,135001.18879334783,1.0750328695652174
Trace_1028_161651.csv,12,135005.18865987656,1.071923086419753
Trace_1028_161651.csv,13,135013.9863852514,1.0723729608938548
Trace_1028_161651.csv,14,135019.63751028135,1.0648718158567776
Trace_1028_161651.csv,15,135003.795836,1.0643555238095237
Trace_1028_161651.csv,16,135008.51585590243,1.067543512195122
Trace_1028_161651.csv,17,135010.76258053942,1.0642785892116182
