time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.215330,-0.469120,2.030270,139.270160,-331.860350,76045.085940,1.000000,3.212040,-366.754300
0.002000,0.216610,-0.466550,2.009770,139.270190,-331.860500,75917.460940,,3.210750,-366.754300
0.004000,0.215330,-0.462710,1.753420,139.270200,-331.860600,76205.398440,,3.208190,-366.754300
0.006000,0.215330,-0.457580,1.527830,139.270220,-331.860690,75723.406250,,3.206910,-366.754300
0.008000,0.215330,-0.455020,1.886720,139.270220,-331.860750,75959.656250,1.000000,3.204350,-366.754300
0.010000,0.215330,-0.452450,1.620120,139.270230,-331.860840,76008.164060,,3.201780,-366.754300
0.012000,0.214050,-0.452450,2.163570,139.270250,-331.860870,75810.937500,,3.203060,-366.754300
0.014000,0.212770,-0.451170,2.235350,139.270260,-331.860960,76042.976560,,3.203060,-366.754300
0.016000,0.211490,-0.449890,2.081540,139.270280,-331.861020,75779.304690,1.000000,3.204350,-366.754300
0.018000,0.210210,-0.421690,1.845700,139.270280,-331.861080,76009.218750,,3.205630,-366.754300
0.018000,0.210210,-0.421690,1.845700,139.270280,-331.861080,76009.218750,,3.205630,-366.754300
0.020000,0.207640,-0.064090,1.661130,139.270840,-331.861150,75825.710940,,3.210750,-366.754300
0.022000,0.206360,-0.024350,1.722660,139.272160,-331.861240,75857.343750,,3.212040,-366.754300
0.024000,0.205080,0.011540,1.650880,139.273300,-331.861240,75906.914060,1.000000,3.210750,-366.754300
0.026000,0.203800,0.156370,1.866210,139.274170,-331.861300,75791.960940,,3.215880,-366.754330
0.028000,0.201230,0.306340,1.907230,139.275270,-331.861360,75875.273440,,3.217160,-366.754330
0.030000,0.201230,0.410160,1.876460,139.276960,-331.861420,75642.187500,,3.227420,-366.754330
0.032000,0.197390,0.513980,1.691890,139.279300,-331.861510,76007.109380,1.000000,3.237670,-366.754330
0.034000,0.196110,0.644710,1.312500,139.282410,-331.861510,75857.343750,,3.237670,-366.754330
0.036000,0.196110,0.799800,1.866210,139.286470,-331.861510,75833.085940,,3.232540,-366.754360
0.038000,0.193540,0.956180,2.030270,139.291690,-331.861480,75821.492190,,3.232540,-366.754360
