time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.126890,-0.425540,2.081540,139.198320,-323.806060,75398.562500,1.000000,3.105650,-523.318660
0.002000,0.124330,-0.426820,2.184080,139.198330,-323.806210,76068.281250,,3.099240,-523.318660
0.004000,0.123050,-0.426820,1.876460,139.198350,-323.806300,75837.312500,,3.094120,-523.318660
0.006000,0.121770,-0.428100,1.937990,139.198360,-323.806370,76065.117190,,3.083860,-523.318660
0.008000,0.119200,-0.431950,1.568850,139.198380,-323.806460,75752.929690,1.000000,3.080020,-523.318660
0.010000,0.117920,-0.433230,1.743160,139.198390,-323.806490,75725.507810,,3.074890,-523.318730
0.012000,0.116640,-0.438350,1.568850,139.198390,-323.806580,75982.859380,,3.072330,-523.318730
0.014000,0.115360,-0.442200,1.866210,139.198410,-323.806670,75468.164060,,3.072330,-523.318730
0.016000,0.114070,-0.444760,2.102050,139.198390,-323.806760,75926.953130,1.000000,3.073610,-523.318730
0.018000,0.114070,-0.447330,2.081540,139.198380,-323.806850,75899.531250,,3.077450,-523.318730
0.020000,0.111510,-0.417850,2.061040,139.198360,-323.806980,76076.718750,,3.087710,-523.318730
0.022000,0.111510,-0.047420,1.886720,139.198940,-323.807100,75838.359380,,3.096680,-523.318730
0.024000,0.111510,0.007690,2.317380,139.200320,-323.807190,75907.968750,1.000000,3.105650,-523.318730
0.026000,0.111510,0.076900,1.671390,139.201640,-323.807280,76098.867190,,3.110780,-523.318730
0.028000,0.111510,0.242250,2.153320,139.202910,-323.807340,75885.828130,,3.113340,-523.318730
0.030000,0.111510,0.410160,1.958500,139.204540,-323.807400,76252.859380,,3.118470,-523.318730
0.030000,0.111510,0.410160,1.958500,139.204540,-323.807400,76252.859380,,3.118470,-523.318730
