time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.220460,-0.425540,2.040530,139.198750,-324.906460,76122.070310,1.000000,3.085140,-399.317960
0.002000,0.219180,-0.424260,1.876460,139.198760,-324.906520,75871.062500,,3.080020,-399.317960
0.004000,0.219180,-0.425540,2.040530,139.198760,-324.906590,75945.937500,,3.069760,-399.317960
0.006000,0.216610,-0.430660,1.630370,139.198780,-324.906680,76312.976560,,3.067200,-399.317990
0.008000,0.215330,-0.431950,1.732910,139.198780,-324.906740,75801.445310,1.000000,3.064640,-399.317990
0.010000,0.217900,-0.434510,1.712400,139.198780,-324.906860,76201.171880,,3.060790,-399.317990
0.012000,0.215330,-0.435790,1.763670,139.198780,-324.906950,75786.679690,,3.065920,-399.317990
0.014000,0.217900,-0.438350,2.214840,139.198760,-324.907070,76044.031250,,3.073610,-399.318020
0.016000,0.217900,-0.439640,2.020020,139.198750,-324.907200,75844.687500,1.000000,3.081300,-399.318020
0.018000,0.216610,-0.442200,2.009770,139.198730,-324.907290,75894.257810,,3.092830,-399.318020
0.020000,0.214050,-0.411440,1.650880,139.198730,-324.907440,75981.796880,,3.101810,-399.318020
0.022000,0.215330,-0.037170,1.948240,139.199310,-324.907500,75833.085940,,3.108220,-399.318020
0.024000,0.216610,0.020510,1.763670,139.200680,-324.907560,75853.132810,1.000000,3.114620,-399.318020
0.026000,0.216610,0.097410,1.743160,139.202010,-324.907590,75697.039060,,3.112060,-399.318020
0.028000,0.219180,0.266600,2.112300,139.203260,-324.907590,76098.867190,,3.112060,-399.318020
0.030000,0.217900,0.433230,1.640630,139.204900,-324.907620,75872.109380,,3.113340,-399.318020
0.032000,0.217900,0.561400,1.691890,139.207280,-324.907620,75689.656250,1.000000,3.114620,-399.318020
0.034000,0.217900,0.690860,1.589360,139.210510,-324.907650,75870.007810,,3.118470,-399.318020
0.036000,0.219180,0.825440,1.763670,139.214740,-324.907680,75747.656250,,3.115910,-399.318020
0.038000,0.219180,0.981810,1.722660,139.220140,-324.907650,75892.148440,,3.113340,-399.318020
0.038000,0.219180,0.981810,1.722660,139.220140,-324.907650,75892.148440,,3.113340,-399.318020
0.040000,0.219180,1.139470,2.040530,139.226960,-324.907650,75519.851560,1.000000,3.114620,-399.318020
0.042000,0.219180,1.281740,2.214840,139.235430,-324.907680,75885.828130,,3.112060,-399.318020
0.044000,0.217900,1.411190,2.030270,139.245790,-324.907680,75884.773440,,3.109500,-399.318020
0.046000,0.217900,1.517580,2.020020,139.258190,-324.907710,75835.195310,,3.114620,-399.318020
0.048000,0.217900,1.604740,1.538090,139.272740,-324.907780,75751.882810,1.000000,3.123600,-399.318020
0.050000,0.219180,1.675230,2.122560,139.289490,-324.907810,75645.359380,,3.130000,-399.318020
0.052000,0.217900,1.736760,2.030270,139.308470,-324.907840,76242.304690,,3.137700,-399.318020
0.054000,0.216610,1.782900,2.091800,139.329680,-324.907840,75798.281250,,3.145390,-399.318020
