time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.234560,-0.444760,2.030270,139.198750,-324.906370,75745.546880,1.000000,3.071040,-367.317470
0.002000,0.233280,-0.447330,1.722660,139.198760,-324.906460,75925.906250,,3.067200,-367.317470
0.004000,0.231990,-0.449890,1.876460,139.198780,-324.906560,75686.484380,,3.058230,-367.317500
0.006000,0.229430,-0.452450,1.927730,139.198790,-324.906620,75954.382810,,3.056950,-367.317500
0.008000,0.228150,-0.452450,1.855960,139.198790,-324.906740,75936.445310,1.000000,3.054380,-367.317500
0.010000,0.226870,-0.456300,2.143070,139.198780,-324.906830,75675.945310,,3.053100,-367.317500
0.012000,0.226870,-0.457580,1.630370,139.198760,-324.906920,75894.257810,,3.060790,-367.317540
0.014000,0.228150,-0.461430,1.702150,139.198750,-324.907040,75469.218750,,3.063350,-367.317540
0.016000,0.226870,-0.462710,1.661130,139.198730,-324.907170,75993.398440,1.000000,3.072330,-367.317540
0.018000,0.226870,-0.462710,1.589360,139.198730,-324.907290,75954.382810,,3.081300,-367.317540
0.020000,0.226870,-0.430660,2.009770,139.198730,-324.907380,75990.234380,,3.090270,-367.317540
0.022000,0.229430,-0.056400,1.650880,139.199330,-324.907470,75812.000000,,3.096680,-367.317540
0.024000,0.228150,0.000000,2.009770,139.200700,-324.907530,75839.421880,1.000000,3.103090,-367.317540
0.026000,0.229430,0.075620,1.743160,139.202030,-324.907560,75939.617190,,3.100520,-367.317540
0.028000,0.229430,0.246090,1.968750,139.203280,-324.907560,75687.539060,,3.097960,-367.317540
0.030000,0.230710,0.414000,2.091800,139.204900,-324.907560,76052.460940,,3.101810,-367.317540
0.032000,0.230710,0.542180,1.917480,139.207240,-324.907590,75938.562500,1.000000,3.101810,-367.317540
0.034000,0.228150,0.670350,2.235350,139.210480,-324.907620,76114.695310,,3.106930,-367.317540
0.036000,0.229430,0.810060,1.896970,139.214690,-324.907650,75887.929690,,3.105650,-367.317540
0.038000,0.229430,0.972840,2.009770,139.220050,-324.907620,75911.140630,,3.104370,-367.317540
0.040000,0.229430,1.139470,1.548340,139.226810,-324.907620,76066.179690,1.000000,3.104370,-367.317540
0.040000,0.229430,1.139470,1.548340,139.226810,-324.907620,76066.179690,1.000000,3.104370,-367.317540
0.042000,0.229430,1.291990,1.886720,139.235230,-324.907650,75970.203130,,3.103090,-367.317540
0.044000,0.228150,1.422730,1.722660,139.245560,-324.907650,76041.921880,,3.100520,-367.317570
0.046000,0.228150,1.529110,1.927730,139.257970,-324.907710,75894.257810,,3.105650,-367.317540
0.048000,0.228150,1.611150,1.886720,139.272550,-324.907750,76088.328130,1.000000,3.113340,-367.317540
0.050000,0.230710,1.679080,1.435550,139.289320,-324.907780,75894.257810,,3.117190,-367.317540
0.052000,0.229430,1.735470,1.855960,139.308350,-324.907810,75926.953130,,3.127440,-367.317540
0.054000,0.229430,1.772640,1.661130,139.329610,-324.907840,76189.578130,,3.133850,-367.317540
0.056000,0.229430,1.773930,1.937990,139.353010,-324.907840,75727.617190,1.000000,3.137700,-367.317540
0.058000,0.229430,1.744450,2.348140,139.378420,-324.907840,76054.570310,,3.146670,-367.317540
0.060000,0.230710,1.695740,1.958500,139.405640,-324.907840,75680.156250,,3.151790,-367.317570
0.062000,0.229430,1.618840,1.763670,139.434520,-324.907840,75839.421880,,3.156920,-367.317570
0.064000,0.228150,1.516300,1.517580,139.464900,-324.907840,75960.703130,1.000000,3.162050,-367.317570
0.066000,0.228150,1.397090,1.845700,139.496540,-324.907810,75915.351560,,3.167180,-367.317570
0.068000,0.228150,1.280460,1.763670,139.529160,-324.907810,75925.906250,,3.171020,-367.317570
0.070000,0.228150,1.172790,2.030270,139.562580,-324.907810,75713.906250,,3.176150,-367.317570
0.072000,0.228150,1.070250,1.968750,139.596590,-324.907810,75924.851560,1.000000,3.177430,-367.317570
0.074000,0.226870,0.963870,1.702150,139.631040,-324.907810,75565.203130,,3.182560,-367.317570
0.076000,0.228150,0.857480,1.691890,139.665830,-324.907780,75911.140630,,3.188960,-367.317570
0.078000,0.226870,0.757510,1.127930,139.700700,-324.907780,75848.906250,,3.188960,-367.317570
0.080000,0.228150,0.675480,1.712400,139.735580,-324.907780,75808.835940,1.000000,3.194090,-367.317570
0.082000,0.228150,0.606260,1.763670,139.770360,-324.907780,75816.210940,,3.199220,-367.317570
0.084000,0.226870,0.552430,2.542970,139.804980,-324.907750,75654.843750,,3.201780,-367.317570
0.086000,0.226870,0.528080,2.153320,139.839420,-324.907750,75993.398440,,3.206910,-367.317570
0.088000,0.225590,0.499880,2.091800,139.873790,-324.907750,75764.539060,1.000000,3.212040,-367.317570
0.090000,0.226870,0.460140,1.661130,139.908160,-324.907710,76008.164060,,3.213320,-367.317570
0.092000,0.228150,0.422970,1.527830,139.942520,-324.907710,75942.781250,,3.218440,-367.317570
0.094000,0.228150,0.394780,2.050780,139.976870,-324.907710,75997.625000,,3.221010,-367.317570
0.096000,0.228150,0.380680,2.040530,140.011140,-324.907710,75827.820310,1.000000,3.222290,-367.317570
0.098000,0.229430,0.371700,2.009770,140.045390,-324.907710,75804.609380,,3.226140,-367.317570
0.100000,0.228150,0.370420,1.968750,140.079640,-324.907710,76073.554690,,3.226140,-367.317570
0.102000,0.226870,0.371700,1.732910,140.113890,-324.907710,75849.960940,,3.226140,-367.317570
0.104000,0.228150,0.364010,1.691890,140.148190,-324.907710,75982.859380,1.000000,3.229980,-367.317570
0.106000,0.228150,0.360170,1.445800,140.182530,-324.907710,75977.585940,,3.231260,-367.317540
0.108000,0.229430,0.365300,1.794430,140.216870,-324.907710,76080.937500,,3.233830,-367.317540
0.110000,0.230710,0.376830,1.968750,140.251240,-324.907710,75794.070310,,3.236390,-367.317570
0.112000,0.229430,0.385800,2.050780,140.285680,-324.907680,75769.812500,1.000000,3.238950,-367.317570
0.114000,0.228150,0.399900,1.886720,140.320140,-324.907680,76435.312500,,3.242800,-367.317540
0.116000,0.228150,0.433230,1.958500,140.354640,-324.907680,75829.921880,,3.245360,-367.317540
0.118000,0.228150,0.476810,1.825200,140.389160,-324.907680,75978.632810,,3.246640,-367.317540
0.120000,0.228150,0.521670,1.794430,140.423740,-324.907680,75706.531250,1.000000,3.249210,-367.317570
0.122000,0.226870,0.552430,1.917480,140.458420,-324.907680,75940.671880,,3.254330,-367.317570
0.124000,0.225590,0.589600,1.948240,140.493150,-324.907650,75692.820310,,3.254330,-367.317570
0.126000,0.224300,0.639590,1.630370,140.527890,-324.907650,75710.742190,,3.259460,-367.317570
0.128000,0.223020,0.698550,1.579100,140.562650,-324.907650,75819.375000,1.000000,3.264590,-367.317570
