time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.206360,-0.463990,1.907230,139.197560,-337.281950,75793.015630,1.000000,3.173580,-399.316930
0.002000,0.207640,-0.457580,1.773930,139.197560,-337.282140,75857.343750,,3.172300,-399.316930
0.004000,0.207640,-0.455020,1.896970,139.197570,-337.282260,75872.109380,,3.168460,-399.316930
0.006000,0.208920,-0.451170,1.948240,139.197600,-337.282320,76052.460940,,3.164610,-399.316890
0.008000,0.208920,-0.446040,1.773930,139.197620,-337.282410,75818.320310,1.000000,3.160770,-399.316890
0.010000,0.210210,-0.442200,1.548340,139.197630,-337.282470,76091.484380,,3.156920,-399.316890
0.012000,0.208920,-0.442200,1.753420,139.197650,-337.282560,75863.671880,,3.158200,-399.316890
0.014000,0.207640,-0.438350,2.173830,139.197660,-337.282620,75778.250000,,3.156920,-399.316890
0.016000,0.207640,-0.438350,2.112300,139.197680,-337.282710,76056.687500,1.000000,3.155640,-399.316890
0.018000,0.207640,-0.408870,2.102050,139.197680,-337.282780,75984.960940,,3.159480,-399.316890
0.020000,0.206360,-0.047420,2.009770,139.198260,-337.282870,76343.554690,,3.163330,-399.316890
0.022000,0.206360,-0.015380,1.855960,139.199580,-337.282960,75926.953130,,3.168460,-399.316930
0.024000,0.206360,0.016660,1.609860,139.200740,-337.282990,75808.835940,1.000000,3.168460,-399.316930
0.026000,0.207640,0.151250,1.855960,139.201680,-337.283050,75862.617190,,3.169740,-399.316890
0.028000,0.207640,0.293520,1.855960,139.202820,-337.283110,75923.796880,,3.172300,-399.316890
0.030000,0.208920,0.393490,1.814940,139.204530,-337.283170,75871.062500,,3.177430,-399.316930
0.032000,0.206360,0.494750,1.886720,139.206880,-337.283260,75898.484380,1.000000,3.188960,-399.316890
0.034000,0.205080,0.630620,1.630370,139.209960,-337.283260,76172.703130,,3.190250,-399.316890
0.036000,0.205080,0.786990,1.702150,139.213990,-337.283260,75804.609380,,3.185120,-399.316890
0.036000,0.205080,0.786990,1.702150,139.213990,-337.283260,75804.609380,,3.185120,-399.316890
0.038000,0.203800,0.935670,1.640630,139.219210,-337.283260,75798.281250,,3.186400,-399.316930
0.040000,0.203800,1.063840,1.732910,139.225880,-337.283260,75774.023440,1.000000,3.182560,-399.316930
0.042000,0.201230,1.163820,2.061040,139.234120,-337.283260,75906.914060,,3.179990,-399.316930
0.044000,0.199950,1.245850,1.968750,139.244020,-337.283290,75681.218750,,3.178710,-399.316930
0.046000,0.198670,1.289430,2.081540,139.255710,-337.283360,75765.593750,,3.182560,-399.316930
0.048000,0.198670,1.277890,1.712400,139.269040,-337.283390,75956.492190,1.000000,3.187680,-399.316930
0.050000,0.199950,1.235600,1.917480,139.283910,-337.283420,75741.328130,,3.195370,-399.316930
0.052000,0.198670,1.177920,1.907230,139.300020,-337.283480,75949.101560,,3.204350,-399.316930
0.054000,0.198670,1.115110,1.599610,139.317140,-337.283510,75911.140630,,3.213320,-399.316960
0.056000,0.198670,1.043330,2.061040,139.335070,-337.283540,76029.265630,1.000000,3.223570,-399.316960
0.058000,0.197390,0.961300,1.979000,139.353620,-337.283570,75873.171880,,3.231260,-399.316960
0.060000,0.196110,0.875430,1.712400,139.372590,-337.283570,75652.734380,,3.237670,-399.316960
0.062000,0.196110,0.788270,1.650880,139.391770,-337.283540,75853.132810,,3.242800,-399.316960
0.064000,0.193540,0.716490,1.671390,139.410960,-337.283540,75859.453130,1.000000,3.249210,-399.316960
0.066000,0.193540,0.657530,1.773930,139.430080,-337.283540,76017.664060,,3.253050,-399.316960
