time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.229430,-0.447330,1.784180,139.198720,-342.681670,77369.773440,1.000000,3.067200,-367.317230
0.002000,0.228150,-0.446040,1.866210,139.198720,-342.681920,77187.312500,,3.068480,-367.317230
0.004000,0.226870,-0.444760,1.702150,139.198730,-342.682100,77327.578130,,3.069760,-367.317260
0.006000,0.224300,-0.444760,1.835450,139.198730,-342.682220,77147.234380,,3.065920,-367.317260
0.008000,0.223020,-0.446040,1.435550,139.198760,-342.682310,77237.929690,1.000000,3.062070,-367.317260
0.010000,0.221740,-0.446040,1.538090,139.198780,-342.682430,77356.054690,,3.056950,-367.317260
0.012000,0.219180,-0.446040,1.814940,139.198790,-342.682460,77293.835940,,3.051820,-367.317260
0.014000,0.217900,-0.448610,2.091800,139.198810,-342.682560,77312.812500,,3.046690,-367.317260
0.016000,0.216610,-0.452450,1.979000,139.198810,-342.682620,77714.656250,1.000000,3.042850,-367.317260
0.018000,0.214050,-0.453740,2.091800,139.198810,-342.682710,77207.343750,,3.044130,-367.317260
0.020000,0.212770,-0.425540,1.784180,139.198810,-342.682770,77324.414060,,3.044130,-367.317290
0.022000,0.211490,-0.053830,1.886720,139.199400,-342.682860,77294.882810,,3.051820,-367.317290
0.024000,0.212770,-0.003850,1.866210,139.200810,-342.683010,77345.515630,1.000000,3.060790,-367.317320
0.026000,0.212770,0.053830,1.866210,139.202150,-342.683070,77253.750000,,3.063350,-367.317320
0.028000,0.214050,0.220460,1.630370,139.203400,-342.683140,77435.156250,,3.069760,-367.317320
0.030000,0.212770,0.389650,1.835450,139.205020,-342.683230,77350.789060,,3.073610,-367.317320
