time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.231990,-0.312740,1.937990,139.268490,-348.621770,75954.382810,1.000000,3.130000,-614.757080
0.002000,0.231990,-0.311460,1.702150,139.268490,-348.622040,76118.914060,,3.133850,-614.757080
0.004000,0.231990,-0.308900,1.661130,139.268490,-348.622220,75837.312500,,3.132570,-614.757080
0.006000,0.233280,-0.308900,1.456050,139.268490,-348.622380,76076.718750,,3.128720,-614.757080
0.008000,0.233280,-0.306340,1.732910,139.268510,-348.622500,75856.289060,1.000000,3.126160,-614.757020
0.010000,0.233280,-0.307620,1.896970,139.268520,-348.622590,76118.914060,,3.122310,-614.757080
0.012000,0.233280,-0.306340,2.102050,139.268520,-348.622710,75921.679690,,3.119750,-614.757020
0.014000,0.234560,-0.306340,2.112300,139.268540,-348.622770,75825.710940,,3.117190,-614.757020
0.016000,0.233280,-0.305050,1.886720,139.268540,-348.622860,75925.906250,1.000000,3.115910,-614.757020
0.018000,0.234560,-0.278140,1.702150,139.268540,-348.622990,75899.531250,,3.118470,-614.757020
0.020000,0.234560,0.083310,1.609860,139.269090,-348.623080,75871.062500,,3.122310,-614.757020
0.022000,0.234560,0.102540,1.937990,139.270420,-348.623170,75604.226560,,3.127440,-614.757080
0.024000,0.235840,0.111510,2.091800,139.271740,-348.623260,76115.750000,1.000000,3.128720,-614.757020
0.026000,0.235840,0.215330,1.835450,139.272840,-348.623320,75991.289060,,3.131290,-614.757020
0.028000,0.235840,0.349910,1.886720,139.274090,-348.623410,75719.187500,,3.136410,-614.757020
0.030000,0.235840,0.455020,1.650880,139.275820,-348.623470,75826.757810,,3.141540,-614.757020
0.032000,0.237120,0.557560,1.722660,139.278180,-348.623570,75684.382810,1.000000,3.156920,-614.757020
0.034000,0.237120,0.688290,1.599610,139.281280,-348.623660,75911.140630,,3.159480,-614.757020
0.036000,0.235840,0.840820,1.825200,139.285260,-348.623660,75535.664060,,3.155640,-614.757020
0.038000,0.235840,0.981810,2.020020,139.290300,-348.623630,75884.773440,,3.149230,-614.757020
0.040000,0.237120,1.072810,2.081540,139.296570,-348.623630,76068.281250,1.000000,3.147950,-614.757020
0.042000,0.235840,1.104860,2.143070,139.304030,-348.623660,75786.679690,,3.147950,-614.757020
0.044000,0.234560,1.085630,1.876460,139.312610,-348.623690,75774.023440,,3.147950,-614.757020
0.046000,0.234560,1.024110,1.907230,139.322140,-348.623690,75819.375000,,3.149230,-614.757020
0.048000,0.234560,0.922850,1.835450,139.332370,-348.623780,76146.335940,1.000000,3.158200,-614.757020
0.050000,0.233280,0.806210,2.081540,139.343030,-348.623810,75692.820310,,3.171020,-614.757020
0.052000,0.231990,0.695980,1.989260,139.353850,-348.623900,76147.390630,,3.185120,-614.757020
0.054000,0.231990,0.610110,1.620120,139.364550,-348.623930,75975.468750,,3.195370,-614.757080
0.056000,0.229430,0.558840,1.804690,139.375020,-348.623960,76038.750000,1.000000,3.200500,-614.757080
0.058000,0.230710,0.540890,1.640630,139.385190,-348.623930,75819.375000,,3.204350,-614.757080
0.060000,0.230710,0.544740,1.937990,139.395110,-348.623900,75836.257810,,3.206910,-614.757080
0.062000,0.229430,0.565250,1.773930,139.404830,-348.623870,76086.218750,,3.209470,-614.757080
0.064000,0.229430,0.596010,1.855960,139.414380,-348.623870,75957.539060,1.000000,3.212040,-614.757080
0.066000,0.230710,0.626770,1.917480,139.423890,-348.623840,76087.273440,,3.210750,-614.757080
0.068000,0.231990,0.648560,1.681640,139.433380,-348.623840,75744.492190,,3.210750,-614.757080
0.070000,0.233280,0.652400,1.896970,139.442980,-348.623870,75959.656250,,3.212040,-614.757080
0.072000,0.233280,0.646000,1.937990,139.452650,-348.623900,75905.859380,1.000000,3.214600,-614.757080
0.074000,0.234560,0.630620,2.050780,139.462420,-348.623900,75837.312500,,3.217160,-614.757080
0.076000,0.233280,0.616520,2.143070,139.472230,-348.623900,75849.960940,,3.222290,-614.757020
0.078000,0.233280,0.606260,2.030270,139.482060,-348.623900,75763.484380,,3.228700,-614.757080
0.080000,0.233280,0.597290,1.722660,139.491910,-348.623870,75834.140630,1.000000,3.232540,-614.757020
0.082000,0.231990,0.583190,1.456050,139.501770,-348.623870,75779.304690,,3.238950,-614.757020
0.084000,0.230710,0.569090,1.712400,139.511640,-348.623840,75891.093750,,3.244080,-614.757080
0.086000,0.230710,0.551150,1.671390,139.521550,-348.623810,75815.156250,,3.245360,-614.757080
0.088000,0.230710,0.533200,2.040530,139.531460,-348.623810,75853.132810,1.000000,3.246640,-614.757080
0.090000,0.230710,0.511410,1.948240,139.541380,-348.623780,75863.671880,,3.244080,-614.757080
0.092000,0.230710,0.492190,1.763670,139.551300,-348.623780,75775.078130,,3.245360,-614.757080
0.094000,0.231990,0.480650,1.630370,139.561170,-348.623810,75812.000000,,3.246640,-614.757080
0.096000,0.231990,0.476810,1.630370,139.570980,-348.623810,75810.937500,1.000000,3.245360,-614.757080
0.098000,0.233280,0.487060,1.917480,139.580750,-348.623810,75996.562500,,3.246640,-614.757080
0.100000,0.233280,0.503720,2.245610,139.590440,-348.623810,75978.632810,,3.247920,-614.757080
0.102000,0.233280,0.531920,2.266110,139.600080,-348.623810,75894.257810,,3.251770,-614.757080
0.104000,0.231990,0.565250,1.907230,139.609700,-348.623810,75729.726560,1.000000,3.256900,-614.757080
0.106000,0.231990,0.603700,2.050780,139.619310,-348.623810,75876.328130,,3.263310,-614.757080
0.108000,0.233280,0.644710,1.794430,139.628940,-348.623810,76078.828130,,3.267150,-614.757080
0.110000,0.231990,0.683170,1.476560,139.638610,-348.623810,75845.742190,,3.273560,-614.757080
0.112000,0.233280,0.708800,1.866210,139.648380,-348.623780,76225.429690,1.000000,3.278690,-614.757080
0.114000,0.233280,0.722900,1.968750,139.658260,-348.623750,75928.015630,,3.281250,-614.757080
0.116000,0.231990,0.729310,1.814940,139.668240,-348.623720,76057.742190,,3.282530,-614.757080
0.118000,0.231990,0.722900,1.661130,139.678340,-348.623720,75806.726560,,3.285100,-614.757080
0.120000,0.231990,0.710080,1.589360,139.688540,-348.623720,75919.578130,1.000000,3.286380,-614.757080
0.122000,0.233280,0.685730,1.579100,139.698810,-348.623720,76135.789060,,3.286380,-614.757080
0.124000,0.231990,0.662660,1.825200,139.709110,-348.623720,75743.437500,,3.288940,-614.757080
0.126000,0.233280,0.646000,2.184080,139.719380,-348.623720,76103.093750,,3.291500,-614.757080
0.128000,0.231990,0.639590,2.153320,139.729600,-348.623720,75799.335940,1.000000,3.294070,-614.757080
0.130000,0.230710,0.643430,1.979000,139.739760,-348.623720,75909.031250,,3.296630,-614.757080
0.132000,0.231990,0.644710,1.620120,139.749880,-348.623720,75921.679690,,3.300480,-614.757080
0.134000,0.231990,0.649840,1.538090,139.759930,-348.623690,75741.328130,,3.304320,-614.757080
0.136000,0.231990,0.660100,1.814940,139.769970,-348.623690,76144.226560,1.000000,3.308170,-614.757080
0.138000,0.230710,0.670350,1.907230,139.779970,-348.623690,75994.453130,,3.312010,-614.757080
0.140000,0.230710,0.684450,1.948240,139.789960,-348.623690,75861.562500,,3.317140,-614.757080
0.142000,0.229430,0.694700,1.886720,139.799960,-348.623690,75515.632810,,3.320980,-614.757080
