time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.217900,-0.117920,1.589360,139.197460,-338.367950,75932.226560,1.000000,3.027470,-396.317540
0.002000,0.216610,-0.119200,1.825200,139.197460,-338.368070,75824.656250,,3.024900,-396.317540
0.004000,0.217900,-0.116640,1.732910,139.197480,-338.368160,76263.406250,,3.022340,-396.317540
0.006000,0.219180,-0.117920,1.876460,139.197480,-338.368290,75743.437500,,3.017210,-396.317540
0.008000,0.219180,-0.117920,2.040530,139.197480,-338.368350,75987.078130,1.000000,3.015930,-396.317540
0.010000,0.220460,-0.116640,1.845700,139.197480,-338.368440,75830.984380,,3.014650,-396.317540
0.012000,0.221740,-0.117920,1.732910,139.197480,-338.368500,75894.257810,,3.015930,-396.317540
0.014000,0.221740,-0.119200,1.579100,139.197490,-338.368590,75799.335940,,3.017210,-396.317540
0.016000,0.223020,-0.117920,1.609860,139.197480,-338.368680,75824.656250,1.000000,3.019780,-396.317540
0.018000,0.224300,-0.093570,1.589360,139.197480,-338.368740,75935.390630,,3.022340,-396.317500
0.020000,0.225590,0.280700,2.071290,139.198010,-338.368840,75670.664060,,3.026180,-396.317500
0.022000,0.226870,0.292240,2.112300,139.199360,-338.368900,75955.437500,,3.031310,-396.317500
0.024000,0.228150,0.264040,1.999510,139.200840,-338.368960,75832.031250,1.000000,3.032590,-396.317500
0.026000,0.226870,0.329410,2.091800,139.202180,-338.368990,76019.773440,,3.032590,-396.317500
0.028000,0.229430,0.437070,1.691890,139.203610,-338.369020,75915.351560,,3.035160,-396.317500
0.030000,0.230710,0.524230,1.927730,139.205540,-338.369110,75653.796880,,3.042850,-396.317500
0.030000,0.230710,0.524230,1.927730,139.205540,-338.369110,75653.796880,,3.042850,-396.317500
0.032000,0.230710,0.599850,2.061040,139.208100,-338.369140,75868.945310,1.000000,3.053100,-396.317500
0.034000,0.230710,0.704960,2.153320,139.211380,-338.369200,75609.492190,,3.055660,-396.317470
0.036000,0.230710,0.843380,1.835450,139.215550,-338.369200,75919.578130,,3.053100,-396.317500
0.038000,0.230710,1.003600,1.855960,139.220780,-338.369200,75883.718750,,3.053100,-396.317500
