time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.220460,-0.128170,1.866210,139.198000,-338.467800,75949.101560,1.000000,3.059510,-396.317960
0.002000,0.220460,-0.126890,2.061040,139.198010,-338.467930,75637.976560,,3.056950,-396.317960
0.004000,0.220460,-0.125610,1.722660,139.198010,-338.468050,75724.460940,,3.053100,-396.317960
0.006000,0.223020,-0.125610,1.896970,139.198010,-338.468140,75711.804690,,3.049260,-396.317960
0.008000,0.224300,-0.125610,1.937990,139.198030,-338.468200,75959.656250,1.000000,3.047970,-396.317960
0.010000,0.224300,-0.125610,2.122560,139.198040,-338.468260,75742.390630,,3.044130,-396.317960
0.012000,0.225590,-0.126890,2.081540,139.198040,-338.468350,75706.531250,,3.042850,-396.317960
0.014000,0.226870,-0.126890,2.225100,139.198030,-338.468410,75863.671880,,3.045410,-396.317960
0.014000,0.226870,-0.126890,2.225100,139.198030,-338.468410,75863.671880,,3.045410,-396.317960
0.016000,0.226870,-0.129460,2.050780,139.198030,-338.468510,75955.437500,1.000000,3.047970,-396.317960
0.018000,0.228150,-0.101260,1.753420,139.198030,-338.468570,75933.281250,,3.051820,-396.317960
0.020000,0.229430,0.269170,1.732910,139.198580,-338.468690,75832.031250,,3.058230,-396.317960
0.022000,0.230710,0.281980,1.804690,139.199910,-338.468750,76183.242190,,3.063350,-396.317960
0.024000,0.231990,0.253780,1.907230,139.201390,-338.468810,75820.429690,1.000000,3.064640,-396.317960
0.026000,0.233280,0.319150,1.917480,139.202730,-338.468840,75833.085940,,3.064640,-396.317960
