time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.244810,-0.121770,2.122560,139.198060,-341.667910,75883.718750,1.000000,3.067200,-542.317080
0.002000,0.244810,-0.120480,1.743160,139.198060,-341.667970,76220.156250,,3.059510,-542.317080
0.004000,0.247380,-0.120480,1.907230,139.198060,-341.668060,75991.289060,,3.054380,-542.317080
0.006000,0.248660,-0.119200,2.061040,139.198070,-341.668120,76316.132810,,3.047970,-542.317080
0.008000,0.248660,-0.120480,2.143070,139.198070,-341.668180,75669.609380,1.000000,3.044130,-542.317080
0.010000,0.249940,-0.120480,1.794430,139.198090,-341.668240,75982.859380,,3.040280,-542.317080
0.012000,0.249940,-0.120480,1.876460,139.198070,-341.668330,75912.195310,,3.040280,-542.317080
0.014000,0.251220,-0.123050,1.435550,139.198070,-341.668430,75745.546880,,3.041560,-542.317080
0.016000,0.251220,-0.123050,1.466310,139.198070,-341.668550,76065.117190,1.000000,3.047970,-542.317080
0.018000,0.251220,-0.096130,1.804690,139.198070,-341.668640,76040.867190,,3.054380,-542.317080
0.020000,0.251220,0.274290,1.825200,139.198620,-341.668760,75921.679690,,3.063350,-542.317080
0.022000,0.251220,0.289670,2.061040,139.199970,-341.668850,75576.804690,,3.071040,-542.317080
0.024000,0.251220,0.262760,1.917480,139.201430,-341.668910,75931.179690,1.000000,3.072330,-542.317080
0.026000,0.249940,0.329410,1.814940,139.202740,-341.668950,75893.203130,,3.072330,-542.317080
