time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.162780,-0.215330,1.589360,139.197490,-340.567500,75814.101560,1.000000,3.096680,-615.320250
0.002000,0.162780,-0.215330,1.886720,139.197480,-340.567690,75827.820310,,3.096680,-615.320250
0.004000,0.162780,-0.214050,1.640630,139.197480,-340.567810,75826.757810,,3.092830,-615.320250
0.006000,0.162780,-0.212770,2.266110,139.197480,-340.567960,75717.070310,,3.090270,-615.320250
0.008000,0.162780,-0.212770,2.122560,139.197490,-340.568080,75880.554690,1.000000,3.090270,-615.320250
0.010000,0.162780,-0.212770,2.091800,139.197480,-340.568210,75514.578130,,3.092830,-615.320250
0.012000,0.161500,-0.212770,1.702150,139.197490,-340.568330,76050.351560,,3.096680,-615.320250
0.014000,0.162780,-0.210210,1.743160,139.197490,-340.568450,75871.062500,,3.104370,-615.320250
0.016000,0.161500,-0.210210,2.173830,139.197490,-340.568540,75846.796880,1.000000,3.106930,-615.320250
0.018000,0.164060,-0.179440,1.948240,139.197490,-340.568660,75863.671880,,3.109500,-615.320250
0.020000,0.161500,0.190980,1.958500,139.198030,-340.568730,75924.851560,,3.113340,-615.320250
0.022000,0.161500,0.220460,1.753420,139.199310,-340.568790,76122.070310,,3.115910,-615.320250
0.024000,0.161500,0.235840,1.876460,139.200610,-340.568820,75787.734380,1.000000,3.112060,-615.320250
0.026000,0.161500,0.330690,1.579100,139.201740,-340.568850,75978.632810,,3.110780,-615.320250
0.028000,0.162780,0.446040,1.568850,139.203060,-340.568910,75915.351560,,3.113340,-615.320250
0.030000,0.162780,0.529360,2.061040,139.204900,-340.568940,75887.929690,,3.114620,-615.320250
0.032000,0.162780,0.585750,1.917480,139.207320,-340.569000,75868.945310,1.000000,3.124880,-615.320250
0.034000,0.162780,0.658810,2.235350,139.210340,-340.569060,75959.656250,,3.124880,-615.320250
0.036000,0.161500,0.739560,1.886720,139.214070,-340.569060,76201.171880,,3.123600,-615.320250
0.038000,0.161500,0.804930,1.907230,139.218540,-340.569060,75788.789060,,3.121030,-615.320250
0.040000,0.162780,0.829280,1.784180,139.223800,-340.569060,75932.226560,1.000000,3.122310,-615.320250
0.042000,0.162780,0.816470,1.835450,139.229780,-340.569060,75890.039060,,3.123600,-615.320250
0.044000,0.162780,0.765200,2.255860,139.236330,-340.569090,75940.671880,,3.126160,-615.320250
0.046000,0.162780,0.680600,1.979000,139.243290,-340.569150,75967.031250,,3.133850,-615.320250
0.048000,0.162780,0.596010,1.866210,139.250440,-340.569210,75860.507810,1.000000,3.141540,-615.320250
0.050000,0.161500,0.512700,1.650880,139.257640,-340.569240,76176.921880,,3.150510,-615.320250
0.052000,0.161500,0.455020,1.671390,139.264710,-340.569270,75641.132810,,3.158200,-615.320250
0.054000,0.160220,0.425540,1.886720,139.271560,-340.569310,76053.515630,,3.162050,-615.320250
0.056000,0.161500,0.424260,1.589360,139.278150,-340.569270,75801.445310,1.000000,3.165890,-615.320310
0.058000,0.161500,0.451170,1.855960,139.284550,-340.569240,75972.312500,,3.167180,-615.320250
0.060000,0.161500,0.479370,1.845700,139.290790,-340.569240,75804.609380,,3.168460,-615.320250
0.062000,0.161500,0.517820,2.071290,139.296920,-340.569210,75829.921880,,3.169740,-615.320250
0.064000,0.162780,0.556270,1.896970,139.303020,-340.569240,75862.617190,1.000000,3.171020,-615.320250
0.066000,0.162780,0.580630,2.050780,139.309200,-340.569240,75568.359380,,3.169740,-615.320250
0.068000,0.162780,0.583190,2.050780,139.315480,-340.569240,75997.625000,,3.171020,-615.320250
0.070000,0.164060,0.588320,1.927730,139.321840,-340.569270,75668.554690,,3.173580,-615.320250
0.072000,0.162780,0.590880,2.317380,139.328260,-340.569270,76153.710940,1.000000,3.174870,-615.320250
0.074000,0.161500,0.584470,1.814940,139.334730,-340.569270,75829.921880,,3.181270,-615.320250
0.076000,0.160220,0.587040,1.804690,139.341230,-340.569270,75706.531250,,3.185120,-615.320250
0.078000,0.160220,0.590880,1.681640,139.347780,-340.569270,75828.867190,,3.190250,-615.320250
0.080000,0.160220,0.579350,1.989260,139.354350,-340.569240,75697.039060,1.000000,3.192810,-615.320250
0.082000,0.158940,0.570370,2.009770,139.360930,-340.569240,75939.617190,,3.196660,-615.320250
0.084000,0.157650,0.572940,2.050780,139.367550,-340.569210,75872.109380,,3.200500,-615.320310
0.086000,0.158940,0.556270,1.896970,139.374190,-340.569210,76325.632810,,3.200500,-615.320310
0.088000,0.157650,0.540890,1.804690,139.380830,-340.569210,75960.703130,1.000000,3.201780,-615.320310
0.090000,0.158940,0.533200,1.989260,139.387480,-340.569210,75736.062500,,3.201780,-615.320310
0.092000,0.157650,0.521670,1.825200,139.394100,-340.569210,75911.140630,,3.203060,-615.320310
0.094000,0.157650,0.526790,2.184080,139.400670,-340.569210,75864.726560,,3.203060,-615.320310
0.096000,0.158940,0.542180,2.173830,139.407200,-340.569210,76227.539060,1.000000,3.205630,-615.320310
0.098000,0.158940,0.552430,2.184080,139.413680,-340.569210,75849.960940,,3.210750,-615.320310
0.100000,0.158940,0.578060,1.958500,139.420100,-340.569210,76114.695310,,3.213320,-615.320310
0.102000,0.157650,0.611390,1.958500,139.426530,-340.569210,75945.937500,,3.215880,-615.320310
0.104000,0.158940,0.633180,1.445800,139.432940,-340.569210,75995.507810,1.000000,3.221010,-615.320310
0.106000,0.158940,0.662660,1.640630,139.439380,-340.569210,75662.234380,,3.224850,-615.320310
0.108000,0.157650,0.685730,1.896970,139.445910,-340.569210,75914.296880,,3.228700,-615.320310
0.110000,0.157650,0.689580,1.825200,139.452500,-340.569180,76262.351560,,3.229980,-615.320310
0.112000,0.158940,0.699830,1.825200,139.459150,-340.569180,75642.187500,1.000000,3.233830,-615.320310
0.114000,0.160220,0.699830,1.671390,139.465900,-340.569180,75943.835940,,3.236390,-615.320310
0.116000,0.158940,0.674190,1.784180,139.472730,-340.569150,75732.890630,,3.236390,-615.320310
0.118000,0.160220,0.658810,1.702150,139.479610,-340.569150,76039.804690,,3.238950,-615.320310
0.120000,0.160220,0.635740,1.968750,139.486530,-340.569150,75670.664060,1.000000,3.240230,-615.320310
0.122000,0.160220,0.615230,2.399410,139.493390,-340.569150,75685.429690,,3.242800,-615.320310
0.124000,0.160220,0.615230,1.968750,139.500210,-340.569150,75900.593750,,3.242800,-615.320310
0.126000,0.160220,0.610110,1.794430,139.506970,-340.569150,75528.289060,,3.246640,-615.320310
0.128000,0.160220,0.624210,1.896970,139.513660,-340.569150,75834.140630,1.000000,3.250490,-615.320310
0.130000,0.160220,0.634460,1.927730,139.520280,-340.569150,75575.742190,,3.253050,-615.320310
0.132000,0.160220,0.647280,1.896970,139.526860,-340.569150,76071.453130,,3.258180,-615.320310
0.134000,0.161500,0.669070,1.989260,139.533430,-340.569120,75835.195310,,3.260740,-615.320310
0.136000,0.160220,0.672910,2.020020,139.540070,-340.569120,75764.539060,1.000000,3.264590,-615.320310
0.138000,0.160220,0.667790,1.948240,139.546710,-340.569090,75841.523440,,3.267150,-615.320250
0.140000,0.162780,0.670350,1.661130,139.553410,-340.569090,75881.609380,,3.269710,-615.320250
0.142000,0.161500,0.660100,1.476560,139.560120,-340.569090,76088.328130,,3.272280,-615.320250
0.144000,0.162780,0.648560,1.804690,139.566860,-340.569090,75876.328130,1.000000,3.274840,-615.320250
0.146000,0.162780,0.635740,2.009770,139.573650,-340.569060,76127.343750,,3.276120,-615.320250
0.148000,0.161500,0.615230,2.317380,139.580440,-340.569060,75810.937500,,3.278690,-615.320250
0.150000,0.162780,0.603700,2.214840,139.587200,-340.569060,75795.125000,,3.279970,-615.320250
0.152000,0.161500,0.590880,1.958500,139.593950,-340.569060,75949.101560,1.000000,3.282530,-615.320250
0.154000,0.161500,0.580630,1.650880,139.600650,-340.569060,75933.281250,,3.283810,-615.320250
0.156000,0.162780,0.576780,1.671390,139.607350,-340.569060,76282.390630,,3.286380,-615.320250
0.158000,0.161500,0.565250,2.184080,139.614010,-340.569060,75961.757810,,3.288940,-615.320250
0.160000,0.161500,0.563960,2.143070,139.620620,-340.569060,76298.210940,1.000000,3.290220,-615.320250
0.162000,0.161500,0.574220,2.112300,139.627210,-340.569060,76075.671880,,3.292790,-615.320250
0.164000,0.161500,0.575500,1.650880,139.633760,-340.569060,75778.250000,,3.294070,-615.320250
0.166000,0.160220,0.585750,1.671390,139.640290,-340.569030,75868.945310,,3.295350,-615.320250
0.168000,0.160220,0.597290,1.609860,139.646840,-340.569030,75975.468750,1.000000,3.299190,-615.320250
0.170000,0.160220,0.598570,1.281740,139.653380,-340.569030,76239.140630,,3.301760,-615.320310
0.172000,0.160220,0.610110,2.071290,139.659930,-340.569030,75717.070310,,3.303040,-615.320310
0.174000,0.158940,0.617800,2.030270,139.666520,-340.569030,75976.523440,,3.305600,-615.320310
0.176000,0.160220,0.616520,2.112300,139.673130,-340.569000,75766.648440,1.000000,3.308170,-615.320310
0.178000,0.158940,0.621640,1.886720,139.679750,-340.569000,75813.054690,,3.309450,-615.320250
0.180000,0.158940,0.625490,1.784180,139.686420,-340.569000,75795.125000,,3.312010,-615.320310
0.182000,0.158940,0.625490,1.825200,139.693050,-340.569000,75749.773440,,3.315860,-615.320310
0.184000,0.158940,0.635740,1.876460,139.699710,-340.568970,76003.945310,1.000000,3.318420,-615.320250
0.186000,0.160220,0.638310,2.296880,139.706390,-340.568970,75560.984380,,3.318420,-615.320310
0.188000,0.158940,0.638310,1.937990,139.713060,-340.568970,75945.937500,,3.322270,-615.320310
0.190000,0.157650,0.649840,1.661130,139.719760,-340.568970,75600.000000,,3.322270,-615.320310
0.192000,0.157650,0.647280,1.814940,139.726460,-340.568970,76080.937500,1.000000,3.324830,-615.320310
0.194000,0.157650,0.653690,1.568850,139.733150,-340.568940,75878.437500,,3.326110,-615.320310
0.196000,0.157650,0.652400,2.102050,139.739880,-340.568940,75777.195310,,3.328670,-615.320310
0.198000,0.157650,0.639590,1.845700,139.746660,-340.568940,75884.773440,,3.331240,-615.320310
0.200000,0.156370,0.638310,1.999510,139.753430,-340.568940,76044.031250,1.000000,3.332520,-615.320310
0.202000,0.156370,0.626770,1.907230,139.760240,-340.568940,76012.390630,,3.333800,-615.320310
0.204000,0.155090,0.620360,1.845700,139.767000,-340.568940,75777.195310,,3.336360,-615.320310
0.206000,0.156370,0.619080,1.948240,139.773760,-340.568940,75911.140630,,3.338930,-615.320310
0.208000,0.157650,0.608830,1.979000,139.780500,-340.568940,75900.593750,1.000000,3.340210,-615.320310
0.210000,0.157650,0.616520,2.378910,139.787200,-340.568940,75949.101560,,3.342770,-615.320310
0.212000,0.156370,0.620360,2.030270,139.793870,-340.568910,75930.117190,,3.346620,-615.320310
0.214000,0.156370,0.625490,2.112300,139.800490,-340.568910,75907.968750,,3.347900,-615.320310
0.216000,0.156370,0.643430,1.784180,139.807100,-340.568910,76190.632810,1.000000,3.350460,-615.320310
0.218000,0.156370,0.644710,1.609860,139.813710,-340.568880,75847.851560,,3.353030,-615.320310
0.220000,0.157650,0.649840,1.804690,139.820330,-340.568880,76092.539060,,3.354310,-615.320310
0.222000,0.157650,0.657530,1.835450,139.826970,-340.568880,75860.507810,,3.355590,-615.320310
0.224000,0.157650,0.651120,2.009770,139.833620,-340.568880,76009.218750,1.000000,3.355590,-615.320310
0.226000,0.158940,0.644710,1.722660,139.840330,-340.568850,75929.070310,,3.355590,-615.320310
0.228000,0.157650,0.639590,1.814940,139.847060,-340.568850,76001.843750,,3.358150,-615.320310
0.230000,0.158940,0.620360,1.609860,139.853820,-340.568850,76140.000000,,3.360720,-615.320310
0.232000,0.158940,0.615230,1.814940,139.860570,-340.568850,75679.109380,1.000000,3.359440,-615.320310
0.234000,0.160220,0.606260,2.040530,139.867290,-340.568850,75912.195310,,3.363280,-615.320310
0.236000,0.158940,0.596010,2.194340,139.874010,-340.568850,75636.914060,,3.363280,-615.320310
0.238000,0.160220,0.594730,2.163570,139.880720,-340.568820,76085.164060,,3.365840,-615.320310
0.240000,0.160220,0.588320,1.671390,139.887420,-340.568820,75861.562500,1.000000,3.368410,-615.320310
0.242000,0.160220,0.588320,2.050780,139.894070,-340.568820,75905.859380,,3.370970,-615.320310
0.244000,0.160220,0.593440,1.743160,139.900730,-340.568820,75856.289060,,3.372250,-615.320310
0.246000,0.160220,0.590880,1.907230,139.907350,-340.568820,75623.210940,,3.373540,-615.320250
0.248000,0.160220,0.596010,1.989260,139.913960,-340.568820,76046.132810,1.000000,3.376100,-615.320250
0.250000,0.161500,0.601140,1.814940,139.920590,-340.568790,75594.726560,,3.377380,-615.320310
0.252000,0.160220,0.604980,1.999510,139.927190,-340.568790,76022.929690,,3.378660,-615.320310
0.254000,0.160220,0.613950,1.435550,139.933790,-340.568790,75879.492190,,3.379940,-615.320250
0.256000,0.160220,0.616520,1.835450,139.940410,-340.568790,75695.984380,1.000000,3.381230,-615.320250
0.258000,0.160220,0.613950,1.804690,139.947050,-340.568790,75896.375000,,3.382510,-615.320250
0.260000,0.160220,0.621640,2.061040,139.953690,-340.568790,75597.890630,,3.383790,-615.320250
0.262000,0.161500,0.619080,2.317380,139.960340,-340.568790,76121.023440,,3.386350,-615.320250
0.264000,0.161500,0.621640,2.204590,139.966980,-340.568790,75844.687500,1.000000,3.387630,-615.320310
0.266000,0.160220,0.622920,2.050780,139.973680,-340.568790,75923.796880,,3.387630,-615.320250
0.268000,0.161500,0.613950,1.650880,139.980380,-340.568790,75968.093750,,3.388920,-615.320250
0.270000,0.160220,0.612670,1.907230,139.987050,-340.568760,75797.234380,,3.391480,-615.320310
0.272000,0.160220,0.613950,1.999510,139.993730,-340.568760,75938.562500,1.000000,3.392760,-615.320310
0.274000,0.160220,0.612670,2.102050,140.000380,-340.568760,75915.351560,,3.394040,-615.320250
0.276000,0.158940,0.620360,2.020020,140.007030,-340.568760,76301.367190,,3.395320,-615.320310
0.278000,0.158940,0.620360,1.784180,140.013690,-340.568760,75790.898440,,3.396610,-615.320310
0.280000,0.158940,0.617800,1.732910,140.020320,-340.568760,76160.046880,1.000000,3.396610,-615.320250
0.282000,0.158940,0.629330,1.527830,140.026980,-340.568730,75959.656250,,3.397890,-615.320310
0.284000,0.158940,0.624210,1.630370,140.033630,-340.568730,75895.320310,,3.400450,-615.320310
0.286000,0.158940,0.625490,1.671390,140.040270,-340.568730,75718.125000,,3.400450,-615.320310
0.288000,0.160220,0.628050,2.163570,140.046970,-340.568730,75864.726560,1.000000,3.401730,-615.320310
0.290000,0.160220,0.616520,2.030270,140.053630,-340.568730,76363.601560,,3.404300,-615.320310
0.292000,0.160220,0.621640,2.091800,140.060300,-340.568730,75742.390630,,3.405580,-615.320310
0.294000,0.160220,0.620360,1.845700,140.066990,-340.568730,75786.679690,,3.405580,-615.320310
0.296000,0.160220,0.613950,1.661130,140.073650,-340.568700,75861.562500,1.000000,3.406860,-615.320310
0.296000,0.160220,0.613950,1.661130,140.073650,-340.568700,75861.562500,1.000000,3.406860,-615.320310
