time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.248660,-0.120480,1.415040,139.198210,-341.668090,75797.234380,1.000000,3.067200,-469.318510
0.002000,0.249940,-0.119200,1.661130,139.198230,-341.668180,76137.890630,,3.060790,-469.318510
0.004000,0.251220,-0.116640,1.763670,139.198230,-341.668210,75895.320310,,3.051820,-469.318510
0.006000,0.253780,-0.117920,2.091800,139.198240,-341.668270,75853.132810,,3.045410,-469.318510
0.008000,0.253780,-0.117920,2.214840,139.198260,-341.668330,76076.718750,1.000000,3.040280,-469.318510
0.010000,0.253780,-0.119200,2.235350,139.198260,-341.668400,75903.750000,,3.035160,-469.318510
0.012000,0.255070,-0.119200,1.835450,139.198260,-341.668490,75838.359380,,3.036440,-469.318510
0.014000,0.253780,-0.120480,1.763670,139.198260,-341.668550,75608.445310,,3.037720,-469.318510
0.016000,0.255070,-0.121770,1.917480,139.198240,-341.668640,76010.273440,1.000000,3.041560,-469.318510
0.018000,0.255070,-0.094850,1.825200,139.198240,-341.668760,75866.843750,,3.051820,-469.318510
0.020000,0.256350,0.275570,1.794430,139.198780,-341.668880,75793.015630,,3.060790,-469.318510
0.022000,0.253780,0.292240,2.091800,139.200120,-341.669010,75740.273440,,3.069760,-469.318510
0.024000,0.253780,0.266600,1.845700,139.201570,-341.669040,75716.015630,1.000000,3.073610,-469.318510
0.026000,0.252500,0.337100,1.609860,139.202880,-341.669100,75984.960940,,3.074890,-469.318510
0.028000,0.253780,0.444760,1.579100,139.204320,-341.669130,75639.031250,,3.076170,-469.318510
0.030000,0.252500,0.534480,1.753420,139.206210,-341.669160,75920.625000,,3.078740,-469.318510
0.032000,0.251220,0.611390,1.855960,139.208770,-341.669190,75971.257810,1.000000,3.085140,-469.318510
0.034000,0.248660,0.717770,2.225100,139.212070,-341.669190,75746.601560,,3.083860,-469.318510
0.036000,0.248660,0.852360,2.112300,139.216230,-341.669190,75683.320310,,3.081300,-469.318510
0.036000,0.248660,0.852360,2.112300,139.216230,-341.669190,75683.320310,,3.081300,-469.318510
0.038000,0.247380,1.007450,2.132810,139.221510,-341.669190,75557.820310,,3.081300,-469.318510
