time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.190980,-0.370420,2.481450,139.196200,-336.082610,75641.132810,1.000000,3.210750,-497.317600
0.002000,0.190980,-0.367860,1.712400,139.196200,-336.082820,75948.046880,,3.214600,-497.317600
0.004000,0.189700,-0.367860,1.927730,139.196200,-336.083040,75925.906250,,3.215880,-497.317600
0.006000,0.188420,-0.365300,1.558590,139.196210,-336.083160,75989.187500,,3.217160,-497.317600
0.008000,0.189700,-0.364010,1.722660,139.196230,-336.083280,75893.203130,1.000000,3.214600,-497.317600
0.010000,0.187130,-0.365300,1.855960,139.196240,-336.083370,76279.226560,,3.212040,-497.317600
0.012000,0.187130,-0.365300,1.835450,139.196240,-336.083440,75804.609380,,3.206910,-497.317600
0.014000,0.185850,-0.366580,2.122560,139.196240,-336.083500,75986.023440,,3.203060,-497.317600
0.016000,0.184570,-0.367860,1.579100,139.196240,-336.083560,76070.398440,1.000000,3.201780,-497.317600
0.018000,0.184570,-0.369140,2.163570,139.196240,-336.083620,75848.906250,,3.197940,-497.317600
0.020000,0.183290,-0.339660,1.845700,139.196240,-336.083710,76333.007810,,3.203060,-497.317600
0.022000,0.183290,0.029480,1.958500,139.196840,-336.083770,75700.195310,,3.204350,-497.317660
0.024000,0.180730,0.076900,2.071290,139.198260,-336.083860,76205.398440,1.000000,3.209470,-497.317660
0.026000,0.182010,0.132020,1.804690,139.199690,-336.083920,75877.382810,,3.212040,-497.317660
0.028000,0.180730,0.270450,1.968750,139.201080,-336.083980,75942.781250,,3.210750,-497.317660
0.030000,0.179440,0.421690,1.599610,139.202820,-336.084010,75801.445310,,3.214600,-497.317660
0.032000,0.179440,0.547300,1.927730,139.205250,-336.084110,75891.093750,1.000000,3.222290,-497.317660
0.034000,0.178160,0.665220,1.650880,139.208540,-336.084200,75972.312500,,3.237670,-497.317660
0.036000,0.175600,0.788270,1.958500,139.212810,-336.084260,75538.828130,,3.236390,-497.317660
0.038000,0.176880,0.930540,1.979000,139.218220,-336.084230,76030.320310,,3.235110,-497.317660
0.040000,0.175600,1.080510,1.517580,139.224950,-336.084230,75930.117190,1.000000,3.233830,-497.317660
0.040000,0.175600,1.080510,1.517580,139.224950,-336.084230,75930.117190,1.000000,3.233830,-497.317660
0.042000,0.174320,1.217650,1.538090,139.233280,-336.084230,75857.343750,,3.231260,-497.317690
0.044000,0.173030,1.325320,1.558590,139.243390,-336.084260,75697.039060,,3.229980,-497.317690
0.046000,0.171750,1.390690,2.184080,139.255370,-336.084260,75620.046880,,3.229980,-497.317690
0.048000,0.171750,1.400940,2.163570,139.269230,-336.084290,75987.078130,1.000000,3.232540,-497.317690
