time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.156370,-0.489620,1.558590,139.268630,-328.560760,75898.484380,1.000000,3.123600,-496.755400
0.002000,0.157650,-0.488340,1.855960,139.268650,-328.560940,75690.710940,,3.121030,-496.755460
0.004000,0.158940,-0.487060,1.835450,139.268650,-328.561070,75935.390630,,3.114620,-496.755400
0.006000,0.160220,-0.484500,1.927730,139.268660,-328.561190,75644.296880,,3.110780,-496.755400
0.008000,0.161500,-0.484500,1.589360,139.268660,-328.561280,75962.812500,1.000000,3.108220,-496.755400
0.010000,0.164060,-0.483220,1.671390,139.268680,-328.561340,75922.734380,,3.103090,-496.755400
0.012000,0.166630,-0.484500,1.763670,139.268680,-328.561430,75818.320310,,3.101810,-496.755400
0.014000,0.167910,-0.483220,1.845700,139.268680,-328.561490,75917.460940,,3.101810,-496.755400
0.016000,0.167910,-0.481930,2.419920,139.268680,-328.561610,75816.210940,1.000000,3.103090,-496.755400
0.018000,0.169190,-0.452450,2.163570,139.268680,-328.561710,76027.156250,,3.110780,-496.755400
0.020000,0.171750,-0.089720,1.989260,139.269240,-328.561830,75741.328130,,3.118470,-496.755400
0.022000,0.171750,-0.046140,1.722660,139.270540,-328.561920,76026.093750,,3.127440,-496.755400
0.024000,0.173030,0.000000,1.958500,139.271610,-328.562010,75851.023440,1.000000,3.131290,-496.755400
0.026000,0.175600,0.156370,1.671390,139.272380,-328.562040,75924.851560,,3.133850,-496.755400
0.028000,0.174320,0.320430,1.661130,139.273410,-328.562100,75867.898440,,3.137700,-496.755340
0.030000,0.175600,0.437070,2.030270,139.275010,-328.562160,75975.468750,,3.141540,-496.755340
0.032000,0.175600,0.557560,1.907230,139.277280,-328.562230,76337.234380,1.000000,3.147950,-496.755340
0.032000,0.175600,0.557560,1.907230,139.277280,-328.562230,76337.234380,1.000000,3.147950,-496.755340
0.034000,0.174320,0.707520,1.917480,139.280320,-328.562230,75795.125000,,3.145390,-496.755340
0.036000,0.173030,0.874150,1.558590,139.284300,-328.562190,75917.460940,,3.140260,-496.755340
0.038000,0.173030,1.027950,1.558590,139.289520,-328.562190,75986.023440,,3.140260,-496.755340
0.040000,0.171750,1.144590,1.784180,139.296200,-328.562230,75956.492190,1.000000,3.137700,-496.755400
0.042000,0.170470,1.225340,1.907230,139.304440,-328.562230,75843.640630,,3.136410,-496.755400
0.044000,0.169190,1.271480,2.153320,139.314300,-328.562260,75902.695310,,3.136410,-496.755400
0.046000,0.166630,1.283020,2.071290,139.325740,-328.562290,76218.054690,,3.141540,-496.755400
0.048000,0.164060,1.248410,2.009770,139.338670,-328.562350,75907.968750,1.000000,3.147950,-496.755400
0.050000,0.161500,1.181760,1.650880,139.352890,-328.562410,75759.257810,,3.158200,-496.755400
0.052000,0.158940,1.099730,1.876460,139.368160,-328.562440,75789.843750,,3.167180,-496.755400
0.054000,0.156370,1.016420,1.927730,139.384230,-328.562470,76065.117190,,3.177430,-496.755400
0.056000,0.152530,0.930540,1.702150,139.400830,-328.562500,75853.132810,1.000000,3.186400,-496.755460
0.058000,0.151250,0.848510,1.927730,139.417830,-328.562530,75717.070310,,3.192810,-496.755460
0.060000,0.148680,0.761350,1.732910,139.435000,-328.562500,75916.414060,,3.196660,-496.755460
