time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.230710,-0.115360,1.640630,139.267460,-346.221440,75903.750000,1.000000,3.131290,-322.749970
0.002000,0.228150,-0.111510,1.589360,139.267460,-346.221650,75862.617190,,3.130000,-322.749970
0.004000,0.226870,-0.108950,1.620120,139.267470,-346.221800,75982.859380,,3.126160,-322.749970
0.006000,0.224300,-0.106380,1.968750,139.267490,-346.221860,75851.023440,,3.115910,-322.750000
0.008000,0.221740,-0.105100,2.153320,139.267500,-346.221890,76301.367190,1.000000,3.105650,-322.750000
0.010000,0.219180,-0.105100,2.030270,139.267520,-346.221950,75800.398440,,3.094120,-322.750000
0.012000,0.216610,-0.105100,1.958500,139.267530,-346.221980,75915.351560,,3.087710,-322.750030
0.014000,0.216610,-0.106380,1.630370,139.267530,-346.222020,75941.726560,,3.082580,-322.750030
0.016000,0.215330,-0.107670,1.794430,139.267530,-346.222110,75765.593750,1.000000,3.080020,-322.750060
0.018000,0.212770,-0.108950,1.743160,139.267550,-346.222200,76020.820310,,3.081300,-322.750060
0.020000,0.212770,-0.082030,1.979000,139.267550,-346.222290,75845.742190,,3.085140,-322.750060
0.022000,0.212770,0.303770,2.061040,139.268080,-346.222410,76215.937500,,3.094120,-322.750060
0.024000,0.211490,0.342220,1.722660,139.269520,-346.222560,75794.070310,1.000000,3.104370,-322.750060
0.026000,0.210210,0.346070,1.579100,139.271160,-346.222660,75873.171880,,3.112060,-322.750060
0.028000,0.210210,0.440920,1.568850,139.272810,-346.222720,76044.031250,,3.115910,-322.750060
0.030000,0.211490,0.574220,1.486820,139.274750,-346.222780,75873.171880,,3.117190,-322.750060
0.032000,0.211490,0.689580,1.538090,139.277330,-346.222840,75851.023440,1.000000,3.121030,-322.750060
0.034000,0.210210,0.783140,2.102050,139.280780,-346.222900,75750.828130,,3.131290,-322.750060
0.036000,0.210210,0.893370,2.163570,139.285170,-346.222930,76088.328130,,3.132570,-322.750060
0.038000,0.208920,1.022830,1.999510,139.290700,-346.222900,75566.250000,,3.126160,-322.750060
0.040000,0.208920,1.167660,1.855960,139.297530,-346.222870,75802.500000,1.000000,3.124880,-322.750060
0.042000,0.207640,1.321470,1.650880,139.305920,-346.222870,75995.507810,,3.123600,-322.750060
0.044000,0.207640,1.462460,1.794430,139.316130,-346.222900,75945.937500,,3.121030,-322.750090
0.046000,0.207640,1.586790,2.050780,139.328280,-346.222930,75847.851560,,3.118470,-322.750090
0.048000,0.207640,1.681640,2.030270,139.342540,-346.222960,75925.906250,1.000000,3.117190,-322.750090
0.050000,0.207640,1.758540,1.825200,139.358990,-346.222990,75941.726560,,3.122310,-322.750090
0.052000,0.207640,1.816220,1.814940,139.377610,-346.223050,75973.359380,,3.128720,-322.750090
0.054000,0.207640,1.854680,1.671390,139.398410,-346.223110,76025.039060,,3.140260,-322.750090
0.056000,0.208920,1.863650,1.650880,139.421250,-346.223140,75863.671880,1.000000,3.150510,-322.750090
0.058000,0.208920,1.839290,1.845700,139.446010,-346.223180,76083.046880,,3.156920,-322.750090
0.060000,0.208920,1.776490,1.825200,139.472580,-346.223210,75815.156250,,3.164610,-322.750090
0.062000,0.208920,1.675230,1.979000,139.500750,-346.223210,75948.046880,,3.169740,-322.750090
0.064000,0.208920,1.573970,1.958500,139.530240,-346.223180,75948.046880,1.000000,3.174870,-322.750090
0.066000,0.207640,1.461180,1.855960,139.560850,-346.223180,75965.976560,,3.179990,-322.750090
0.068000,0.207640,1.345830,1.825200,139.592330,-346.223140,75868.945310,,3.185120,-322.750090
0.070000,0.208920,1.224060,2.040530,139.624570,-346.223140,75759.257810,,3.188960,-322.750090
0.072000,0.207640,1.104860,2.102050,139.657300,-346.223110,75905.859380,1.000000,3.191530,-322.750090
0.074000,0.206360,0.998470,2.040530,139.690310,-346.223110,75883.718750,,3.196660,-322.750120
0.076000,0.206360,0.901060,1.855960,139.723480,-346.223110,76014.500000,,3.196660,-322.750120
0.078000,0.206360,0.815190,1.435550,139.756650,-346.223110,75842.585940,,3.200500,-322.750090
0.080000,0.205080,0.751100,1.640630,139.789660,-346.223110,75963.867190,1.000000,3.205630,-322.750090
0.082000,0.205080,0.712650,1.743160,139.822460,-346.223110,75995.507810,,3.206910,-322.750120
0.084000,0.203800,0.706240,2.009770,139.855090,-346.223110,75733.953130,,3.212040,-322.750090
0.086000,0.202510,0.685730,1.896970,139.887660,-346.223110,75884.773440,,3.215880,-322.750090
0.088000,0.202510,0.653690,1.640630,139.920240,-346.223080,75872.109380,1.000000,3.218440,-322.750090
0.090000,0.199950,0.619080,1.784180,139.952820,-346.223080,75971.257810,,3.221010,-322.750120
0.092000,0.198670,0.593440,1.548340,139.985410,-346.223050,75760.312500,,3.222290,-322.750120
0.094000,0.198670,0.567810,1.814940,140.018010,-346.223020,75695.984380,,3.223570,-322.750120
0.096000,0.197390,0.531920,2.194340,140.050640,-346.223020,75948.046880,1.000000,3.227420,-322.750120
0.098000,0.196110,0.498600,2.225100,140.083340,-346.223020,75627.421880,,3.227420,-322.750120
0.100000,0.194820,0.474240,2.030270,140.116000,-346.223020,75912.195310,,3.228700,-322.750120
0.102000,0.193540,0.435790,1.989260,140.148680,-346.223020,75911.140630,,3.229980,-322.750120
